date,dv,temp,sm_ewt,lp_lake,lake
2011-06-12,-0.0589,17.0981,0.4423,0.6400,1371.5737
2011-06-13,-0.0636,17.2091,0.4422,0.6427,1371.5848
2011-06-14,-0.0646,17.2703,0.4421,0.6455,1371.5959
2011-06-15,-0.0621,17.3542,0.4420,0.6482,1371.6061
2011-06-16,-0.0626,17.4477,0.4420,0.6509,1371.6162
2011-06-17,-0.0643,17.6156,0.4420,0.6537,1371.6253
2011-06-18,-0.0682,17.8986,0.4420,0.6564,1371.6338
2011-06-19,-0.0668,18.2097,0.4421,0.6591,1371.6421
2011-06-20,-0.0688,18.4518,0.4421,0.6618,1371.6495
2011-06-21,-0.0689,18.6965,0.4422,0.6645,1371.6566
2011-06-22,-0.0695,18.8847,0.4422,0.6672,1371.6629
2011-06-23,-0.0790,19.0514,0.4423,0.6698,1371.6689
2011-06-24,-0.0860,19.2869,0.4424,0.6725,1371.6741
2011-06-25,-0.0841,19.5702,0.4424,0.6752,1371.6789
2011-06-26,-0.0803,19.8214,0.4425,0.6778,1371.6834
2011-06-27,-0.0838,19.9125,0.4426,0.6804,1371.6873
2011-06-28,-0.0755,20.0186,0.4427,0.6831,1371.6909
2011-06-29,-0.0720,20.1481,0.4428,0.6857,1371.6939
2011-06-30,-0.0594,20.3432,0.4429,0.6883,1371.6967
2011-07-01,-0.0601,20.6273,0.4430,0.6909,1371.6990
2011-07-02,-0.0592,20.7805,0.4431,0.6935,1371.7009
2011-07-03,-0.0583,20.8826,0.4432,0.6961,1371.7026
2011-07-04,-0.0567,21.0292,0.4433,0.6986,1371.7039
2011-07-05,-0.0577,21.1527,0.4434,0.7012,1371.7050
2011-07-06,-0.0548,21.2051,0.4435,0.7037,1371.7057
2011-07-07,-0.0549,21.2550,0.4436,0.7063,1371.7062
2011-07-08,-0.0552,21.3464,0.4436,0.7088,1371.7065
2011-07-09,-0.0510,21.4539,0.4437,0.7113,1371.7065
2011-07-10,-0.0451,21.5633,0.4438,0.7138,1371.7064
2011-07-11,-0.0469,21.7008,0.4438,0.7163,1371.7060
2011-07-12,-0.0482,21.8123,0.4439,0.7188,1371.7055
2011-07-13,-0.0429,21.8906,0.4439,0.7213,1371.7049
2011-07-14,-0.0409,21.9987,0.4440,0.7237,1371.7041
2011-07-15,-0.0384,22.1233,0.4440,0.7262,1371.7033
2011-07-16,-0.0366,22.1434,0.4440,0.7286,1371.7023
2011-07-17,-0.0303,22.1520,0.4440,0.7310,1371.7013
2011-07-18,-0.0203,22.2331,0.4440,0.7334,1371.7002
2011-07-19,-0.0081,22.4088,0.4439,0.7358,1371.6991
2011-07-20,-0.0051,22.5117,0.4439,0.7382,1371.6980
2011-07-21,-0.0117,22.6993,0.4439,0.7406,1371.6968
2011-07-22,-0.0086,22.8095,0.4438,0.7430,1371.6956
2011-07-23,-0.0076,22.8607,0.4437,0.7453,1371.6944
2011-07-24,-0.0056,22.8609,0.4436,0.7477,1371.6929
2011-07-25,-0.0058,22.8717,0.4435,0.7500,1371.6915
2011-07-26,-0.0069,22.9344,0.4434,0.7523,1371.6899
2011-07-27,0.0006,22.9717,0.4433,0.7546,1371.6882
2011-07-28,0.0044,23.0090,0.4432,0.7569,1371.6864
2011-07-29,0.0033,23.0599,0.4431,0.7592,1371.6844
2011-07-30,0.0072,23.0436,0.4430,0.7615,1371.6824
2011-07-31,0.0086,23.0458,0.4429,0.7637,1371.6800
2011-08-01,0.0198,23.1050,0.4427,0.7660,1371.6776
2011-08-02,0.0235,23.1248,0.4426,0.7682,1371.6749
2011-08-03,0.0268,23.0899,0.4425,0.7704,1371.6721
2011-08-04,0.0337,23.0162,0.4423,0.7726,1371.6691
2011-08-05,0.0390,22.9407,0.4422,0.7748,1371.6657
2011-08-06,0.0256,22.9089,0.4421,0.7770,1371.6622
2011-08-07,0.0247,22.8220,0.4419,0.7791,1371.6583
2011-08-08,0.0278,22.7192,0.4418,0.7813,1371.6544
2011-08-09,0.0336,22.6987,0.4417,0.7834,1371.6499
2011-08-10,0.0295,22.6714,0.4416,0.7855,1371.6454
2011-08-11,0.0336,22.6352,0.4415,0.7876,1371.6403
2011-08-12,0.0265,22.5823,0.4413,0.7897,1371.6352
2011-08-13,0.0261,22.5322,0.4412,0.7918,1371.6297
2011-08-14,0.0287,22.4868,0.4411,0.7939,1371.6237
2011-08-15,0.0298,22.4348,0.4411,0.7959,1371.6175
2011-08-16,0.0289,22.3495,0.4410,0.7979,1371.6108
2011-08-17,0.0264,22.2353,0.4409,0.8000,1371.6039
2011-08-18,0.0312,22.0715,0.4408,0.8020,1371.5967
2011-08-19,0.0310,21.9244,0.4407,0.8040,1371.5887
2011-08-20,0.0307,21.8295,0.4406,0.8059,1371.5808
2011-08-21,0.0300,21.7360,0.4406,0.8079,1371.5721
2011-08-22,0.0287,21.6585,0.4405,0.8098,1371.5635
2011-08-23,0.0269,21.5902,0.4404,0.8118,1371.5541
2011-08-24,0.0247,21.5016,0.4403,0.8137,1371.5449
2011-08-25,0.0219,21.3724,0.4402,0.8156,1371.5351
2011-08-26,0.0188,21.2442,0.4401,0.8175,1371.5254
2011-08-27,0.0153,21.2532,0.4400,0.8193,1371.5155
2011-08-28,0.0112,21.2557,0.4399,0.8212,1371.5049
2011-08-29,0.0069,21.2246,0.4399,0.8230,1371.4946
2011-08-30,0.0021,21.1574,0.4398,0.8248,1371.4837
2011-08-31,-0.0029,21.0791,0.4397,0.8267,1371.4732
2011-09-01,-0.0082,21.0319,0.4396,0.8284,1371.4625
2011-09-02,-0.0140,20.9808,0.4395,0.8302,1371.4512
2011-09-03,-0.0198,20.8907,0.4395,0.8320,1371.4404
2011-09-04,-0.0261,20.8145,0.4394,0.8337,1371.4289
2011-09-05,-0.0324,20.7217,0.4393,0.8355,1371.4180
2011-09-06,-0.0392,20.4972,0.4393,0.8372,1371.4065
2011-09-07,-0.0459,20.1793,0.4392,0.8389,1371.3956
2011-09-08,-0.0527,19.8587,0.4392,0.8405,1371.3846
2011-09-09,-0.0600,19.5747,0.4391,0.8422,1371.3732
2011-09-10,-0.0671,19.2996,0.4391,0.8439,1371.3624
2011-09-11,-0.0747,19.0405,0.4391,0.8455,1371.3512
2011-09-12,-0.0819,18.8537,0.4390,0.8471,1371.3405
2011-09-13,-0.0896,18.6555,0.4390,0.8487,1371.3295
2011-09-14,-0.0969,18.4369,0.4390,0.8503,1371.3192
2011-09-15,-0.1043,18.3437,0.4390,0.8518,1371.3090
2011-09-16,-0.1120,18.2487,0.4390,0.8534,1371.2985
2011-09-17,-0.1193,18.1322,0.4391,0.8549,1371.2886
2011-09-18,-0.1269,17.9015,0.4393,0.8564,1371.2786
2011-09-19,-0.1342,17.6820,0.4395,0.8579,1371.2692
2011-09-20,-0.1416,17.4379,0.4398,0.8594,1371.2596
2011-09-21,-0.1486,17.2595,0.4402,0.8609,1371.2507
2011-09-22,-0.1555,17.0883,0.4406,0.8623,1371.2420
2011-09-23,-0.1625,16.9169,0.4410,0.8638,1371.2331
2011-09-24,-0.1690,16.6939,0.4415,0.8652,1371.2248
2011-09-25,-0.1756,16.4425,0.4420,0.8666,1371.2164
2011-09-26,-0.1818,16.2167,0.4425,0.8679,1371.2085
2011-09-27,-0.1879,15.8566,0.4431,0.8693,1371.2006
2011-09-28,-0.1935,15.4695,0.4436,0.8706,1371.1931
2011-09-29,-0.1988,15.1378,0.4442,0.8720,1371.1860
2011-09-30,-0.2041,14.8166,0.4448,0.8733,1371.1787
2011-10-01,-0.2088,14.5559,0.4454,0.8746,1371.1719
2011-10-02,-0.2133,14.3109,0.4460,0.8759,1371.1651
2011-10-03,-0.2173,13.9960,0.4466,0.8771,1371.1588
2011-10-04,-0.2211,13.6335,0.4471,0.8783,1371.1524
2011-10-05,-0.2243,13.2738,0.4477,0.8796,1371.1465
2011-10-06,-0.2270,12.9913,0.4482,0.8808,1371.1408
2011-10-07,-0.2295,12.6357,0.4487,0.8820,1371.1351
2011-10-08,-0.2313,12.3459,0.4492,0.8831,1371.1299
2011-10-09,-0.2327,12.0521,0.4496,0.8843,1371.1247
2011-10-10,-0.2335,11.7379,0.4499,0.8854,1371.1199
2011-10-11,-0.2338,11.4499,0.4503,0.8865,1371.1151
2011-10-12,-0.2319,11.1768,0.4505,0.8876,1371.1107
2011-10-13,-0.2244,10.9145,0.4508,0.8887,1371.1065
2011-10-14,-0.2125,10.6878,0.4509,0.8898,1371.1024
2011-10-15,-0.2128,10.4601,0.4510,0.8908,1371.0987
2011-10-16,-0.2105,10.2569,0.4510,0.8918,1371.0950
2011-10-17,-0.2093,10.0475,0.4510,0.8928,1371.0917
2011-10-18,-0.2130,9.8229,0.4509,0.8938,1371.0885
2011-10-19,-0.2103,9.5888,0.4508,0.8948,1371.0856
2011-10-20,-0.1987,9.3604,0.4507,0.8958,1371.0829
2011-10-21,-0.1947,9.0805,0.4506,0.8967,1371.0803
2011-10-22,-0.1993,8.8007,0.4504,0.8976,1371.0780
2011-10-23,-0.2066,8.5303,0.4502,0.8985,1371.0758
2011-10-24,-0.2186,8.2653,0.4501,0.8994,1371.0738
2011-10-25,-0.2223,8.0039,0.4499,0.9003,1371.0718
2011-10-26,-0.2205,7.7344,0.4496,0.9011,1371.0701
2011-10-27,-0.2209,7.4521,0.4494,0.9019,1371.0684
2011-10-28,-0.2155,7.1113,0.4492,0.9027,1371.0668
2011-10-29,-0.2135,6.7725,0.4489,0.9035,1371.0654
2011-10-30,-0.2149,6.4402,0.4487,0.9043,1371.0640
2011-10-31,-0.2184,6.1661,0.4484,0.9050,1371.0627
2011-11-01,-0.2182,5.8771,0.4482,0.9058,1371.0614
2011-11-02,-0.2140,5.5565,0.4480,0.9065,1371.0603
2011-11-03,-0.2134,5.2336,0.4477,0.9072,1371.0591
2011-11-04,-0.2039,4.8756,0.4475,0.9079,1371.0579
2011-11-05,-0.2069,4.5315,0.4473,0.9085,1371.0568
2011-11-06,-0.2089,4.2496,0.4470,0.9092,1371.0557
2011-11-07,-0.2134,4.0484,0.4469,0.9098,1371.0545
2011-11-08,-0.2189,3.8971,0.4467,0.9104,1371.0533
2011-11-09,-0.2225,3.7358,0.4465,0.9110,1371.0521
2011-11-10,-0.2284,3.5628,0.4464,0.9116,1371.0509
2011-11-11,-0.2298,3.3911,0.4462,0.9121,1371.0496
2011-11-12,-0.2335,3.1444,0.4461,0.9126,1371.0482
2011-11-13,-0.2333,2.8840,0.4461,0.9132,1371.0467
2011-11-14,-0.2480,2.6080,0.4460,0.9137,1371.0451
2011-11-15,-0.2471,2.3177,0.4460,0.9141,1371.0434
2011-11-16,-0.2531,1.9798,0.4460,0.9146,1371.0416
2011-11-17,-0.2559,1.6445,0.4460,0.9150,1371.0397
2011-11-18,-0.2597,1.3955,0.4460,0.9155,1371.0376
2011-11-19,-0.2603,1.1721,0.4460,0.9159,1371.0355
2011-11-20,-0.2620,1.0191,0.4460,0.9162,1371.0331
2011-11-21,-0.2627,0.7860,0.4461,0.9166,1371.0307
2011-11-22,-0.2678,0.5260,0.4461,0.9170,1371.0282
2011-11-23,-0.2704,0.2537,0.4461,0.9173,1371.0257
2011-11-24,-0.2692,-0.0260,0.4461,0.9176,1371.0231
2011-11-25,-0.2761,-0.2861,0.4462,0.9179,1371.0204
2011-11-26,-0.2827,-0.5038,0.4462,0.9182,1371.0177
2011-11-27,-0.2837,-0.6119,0.4462,0.9184,1371.0150
2011-11-28,-0.2925,-0.7057,0.4463,0.9187,1371.0123
2011-11-29,-0.2942,-0.7925,0.4463,0.9189,1371.0096
2011-11-30,-0.2923,-0.8628,0.4463,0.9191,1371.0070
2011-12-01,-0.2908,-0.9501,0.4464,0.9193,1371.0044
2011-12-02,-0.2972,-1.1003,0.4464,0.9194,1371.0018
2011-12-03,-0.2977,-1.1825,0.4464,0.9196,1370.9994
2011-12-04,-0.2968,-1.1871,0.4465,0.9197,1370.9969
2011-12-05,-0.2981,-1.1944,0.4465,0.9198,1370.9947
2011-12-06,-0.2931,-1.2536,0.4466,0.9199,1370.9924
2011-12-07,-0.2881,-1.2244,0.4466,0.9200,1370.9904
2011-12-08,-0.2808,-1.2161,0.4467,0.9200,1370.9885
2011-12-09,-0.2754,-1.2307,0.4467,0.9201,1370.9867
2011-12-10,-0.2704,-1.2452,0.4468,0.9201,1370.9852
2011-12-11,-0.2620,-1.2644,0.4468,0.9201,1370.9837
2011-12-12,-0.2604,-1.2917,0.4468,0.9201,1370.9825
2011-12-13,-0.2600,-1.3349,0.4469,0.9200,1370.9815
2011-12-14,-0.2586,-1.4454,0.4469,0.9200,1370.9808
2011-12-15,-0.2571,-1.5648,0.4470,0.9199,1370.9803
2011-12-16,-0.2484,-1.6813,0.4470,0.9198,1370.9800
2011-12-17,-0.2431,-1.7879,0.4471,0.9197,1370.9800
2011-12-18,-0.2336,-1.9264,0.4471,0.9196,1370.9803
2011-12-19,-0.2320,-2.0804,0.4472,0.9195,1370.9808
2011-12-20,-0.2405,-2.1913,0.4472,0.9193,1370.9816
2011-12-21,-0.2422,-2.1902,0.4473,0.9191,1370.9827
2011-12-22,-0.2392,-2.1572,0.4473,0.9189,1370.9840
2011-12-23,-0.2299,-2.2099,0.4474,0.9187,1370.9856
2011-12-24,-0.2229,-2.3215,0.4474,0.9185,1370.9873
2011-12-25,-0.2244,-2.4582,0.4475,0.9182,1370.9894
2011-12-26,-0.2307,-2.5502,0.4475,0.9180,1370.9915
2011-12-27,-0.2372,-2.6549,0.4476,0.9177,1370.9940
2011-12-28,-0.2385,-2.6868,0.4476,0.9174,1370.9965
2011-12-29,-0.2382,-2.7386,0.4477,0.9171,1370.9992
2011-12-30,-0.2359,-2.8334,0.4478,0.9167,1371.0022
2011-12-31,-0.2305,-2.9837,0.4478,0.9164,1371.0052
2012-01-01,-0.2323,-3.0687,0.4479,0.9160,1371.0085
2012-01-02,-0.2371,-3.0831,0.4479,0.9156,1371.0117
2012-01-03,-0.2365,-3.0818,0.4480,0.9152,1371.0153
2012-01-04,-0.2445,-2.9932,0.4481,0.9148,1371.0188
2012-01-05,-0.2384,-2.8976,0.4482,0.9143,1371.0224
2012-01-06,-0.2362,-2.7765,0.4482,0.9139,1371.0262
2012-01-07,-0.2325,-2.6626,0.4483,0.9134,1371.0300
2012-01-08,-0.2257,-2.5860,0.4484,0.9129,1371.0340
2012-01-09,-0.2185,-2.5687,0.4485,0.9124,1371.0379
