date,dv,temp,sm_ewt,lp_lake,lake
2014-03-09,-0.1327,-4.1116,0.5820,0.0783,1370.3702
2014-03-10,-0.1339,-3.8826,0.5822,0.0782,1370.3754
2014-03-11,-0.1403,-3.6544,0.5823,0.0782,1370.3807
2014-03-12,-0.1367,-3.5109,0.5825,0.0781,1370.3855
2014-03-13,-0.1356,-3.3651,0.5826,0.0780,1370.3901
2014-03-14,-0.1394,-3.1925,0.5827,0.0779,1370.3947
2014-03-15,-0.1433,-3.1496,0.5829,0.0778,1370.3989
2014-03-16,-0.1461,-3.1469,0.5830,0.0777,1370.4030
2014-03-17,-0.1423,-3.1031,0.5831,0.0776,1370.4066
2014-03-18,-0.1456,-3.0740,0.5832,0.0775,1370.4102
2014-03-19,-0.1472,-3.0845,0.5833,0.0774,1370.4132
2014-03-20,-0.1532,-2.9197,0.5835,0.0773,1370.4160
2014-03-21,-0.1563,-2.7744,0.5836,0.0772,1370.4186
2014-03-22,-0.1638,-2.6514,0.5837,0.0771,1370.4209
2014-03-23,-0.1657,-2.4202,0.5838,0.0770,1370.4230
2014-03-24,-0.1718,-2.1826,0.5840,0.0769,1370.4247
2014-03-25,-0.1850,-2.1488,0.5841,0.0768,1370.4263
2014-03-26,-0.2132,-2.0508,0.5842,0.0767,1370.4277
2014-03-27,-0.2352,-1.9449,0.5844,0.0765,1370.4288
2014-03-28,-0.2440,-2.0048,0.5845,0.0764,1370.4298
2014-03-29,-0.2525,-2.0766,0.5846,0.0763,1370.4306
2014-03-30,-0.2573,-2.1723,0.5848,0.0761,1370.4312
2014-03-31,-0.2525,-2.2096,0.5849,0.0760,1370.4317
2014-04-01,-0.2427,-2.2078,0.5850,0.0758,1370.4321
2014-04-02,-0.2477,-2.1179,0.5851,0.0757,1370.4323
2014-04-03,-0.2598,-1.9763,0.5852,0.0755,1370.4324
2014-04-04,-0.2806,-1.8349,0.5853,0.0754,1370.4324
2014-04-05,-0.2893,-1.6436,0.5854,0.0752,1370.4324
2014-04-06,-0.3009,-1.4912,0.5855,0.0751,1370.4323
2014-04-07,-0.3107,-1.4494,0.5856,0.0749,1370.4321
2014-04-08,-0.3242,-1.4147,0.5857,0.0747,1370.4318
2014-04-09,-0.3381,-1.3767,0.5858,0.0746,1370.4316
2014-04-10,-0.3732,-1.3958,0.5858,0.0744,1370.4313
2014-04-11,-0.4010,-1.3885,0.5859,0.0742,1370.4310
2014-04-12,-0.4197,-1.3347,0.5859,0.0740,1370.4308
2014-04-13,-0.4372,-1.3304,0.5860,0.0738,1370.4305
2014-04-14,-0.4518,-1.3214,0.5860,0.0737,1370.4303
2014-04-15,-0.4616,-1.2624,0.5860,0.0735,1370.4301
2014-04-16,-0.4704,-1.1064,0.5860,0.0733,1370.4300
2014-04-17,-0.4787,-0.9982,0.5860,0.0731,1370.4300
2014-04-18,-0.4807,-0.7959,0.5860,0.0729,1370.4300
2014-04-19,-0.4792,-0.4972,0.5859,0.0727,1370.4302
2014-04-20,-0.4802,-0.2713,0.5859,0.0725,1370.4304
2014-04-21,-0.4925,-0.1556,0.5858,0.0722,1370.4307
2014-04-22,-0.5008,-0.0102,0.5857,0.0720,1370.4310
2014-04-23,-0.5127,0.1792,0.5856,0.0718,1370.4313
2014-04-24,-0.5232,0.3479,0.5856,0.0716,1370.4317
2014-04-25,-0.5297,0.4492,0.5854,0.0714,1370.4321
2014-04-26,-0.5363,0.5583,0.5853,0.0711,1370.4325
2014-04-27,-0.5466,0.7704,0.5852,0.0709,1370.4328
2014-04-28,-0.5475,1.0527,0.5851,0.0707,1370.4331
2014-04-29,-0.5459,1.3127,0.5849,0.0704,1370.4334
2014-04-30,-0.5448,1.4892,0.5848,0.0702,1370.4336
2014-05-01,-0.5400,1.7167,0.5846,0.0699,1370.4337
2014-05-02,-0.5371,1.9789,0.5845,0.0697,1370.4337
2014-05-03,-0.5327,2.2003,0.5843,0.0694,1370.4336
2014-05-04,-0.5315,2.4929,0.5842,0.0692,1370.4334
2014-05-05,-0.5275,2.7759,0.5840,0.0689,1370.4331
2014-05-06,-0.5220,3.0241,0.5838,0.0687,1370.4326
2014-05-07,-0.5245,3.2363,0.5836,0.0684,1370.4319
2014-05-08,-0.5232,3.4767,0.5835,0.0681,1370.4311
2014-05-09,-0.5257,3.6466,0.5833,0.0679,1370.4301
2014-05-10,-0.5287,3.6866,0.5831,0.0676,1370.4289
2014-05-11,-0.5273,3.7141,0.5829,0.0673,1370.4274
2014-05-12,-0.5261,3.8498,0.5827,0.0670,1370.4257
2014-05-13,-0.5309,3.9390,0.5825,0.0668,1370.4237
2014-05-14,-0.5336,4.0553,0.5824,0.0665,1370.4216
2014-05-15,-0.5388,4.3013,0.5822,0.0662,1370.4192
2014-05-16,-0.5445,4.4596,0.5820,0.0659,1370.4163
2014-05-17,-0.5461,4.5425,0.5818,0.0656,1370.4133
2014-05-18,-0.5500,4.6460,0.5816,0.0653,1370.4098
2014-05-19,-0.5526,4.6765,0.5815,0.0650,1370.4062
2014-05-20,-0.5579,4.6274,0.5812,0.0647,1370.4021
2014-05-21,-0.5665,4.6553,0.5810,0.0644,1370.3978
2014-05-22,-0.5688,4.7552,0.5808,0.0641,1370.3933
2014-05-23,-0.5688,4.8718,0.5806,0.0638,1370.3883
2014-05-24,-0.5633,5.0130,0.5803,0.0634,1370.3833
2014-05-25,-0.5567,5.2808,0.5801,0.0631,1370.3778
2014-05-26,-0.5366,5.5062,0.5799,0.0628,1370.3723
2014-05-27,-0.5148,5.6701,0.5796,0.0625,1370.3664
2014-05-28,-0.5083,5.9027,0.5793,0.0621,1370.3606
2014-05-29,-0.5086,6.1056,0.5791,0.0618,1370.3547
2014-05-30,-0.5049,6.3750,0.5788,0.0615,1370.3483
2014-05-31,-0.5111,6.6910,0.5785,0.0611,1370.3420
2014-06-01,-0.5167,6.9639,0.5782,0.0608,1370.3354
2014-06-02,-0.5175,7.1473,0.5780,0.0605,1370.3290
2014-06-03,-0.5218,7.2732,0.5777,0.0601,1370.3222
2014-06-04,-0.5075,7.3841,0.5774,0.0598,1370.3156
2014-06-05,-0.5045,7.4879,0.5771,0.0594,1370.3090
2014-06-06,-0.5049,7.6375,0.5768,0.0591,1370.3021
2014-06-07,-0.5066,7.8679,0.5765,0.0587,1370.2955
2014-06-08,-0.4940,8.1839,0.5762,0.0583,1370.2886
2014-06-09,-0.4883,8.4633,0.5759,0.0580,1370.2821
2014-06-10,-0.4788,8.6941,0.5756,0.0576,1370.2752
2014-06-11,-0.4753,8.9257,0.5753,0.0572,1370.2688
2014-06-12,-0.4653,9.2134,0.5750,0.0569,1370.2624
2014-06-13,-0.4578,9.5307,0.5747,0.0565,1370.2558
2014-06-14,-0.4528,9.8329,0.5744,0.0561,1370.2497
2014-06-15,-0.4522,10.0854,0.5741,0.0557,1370.2434
2014-06-16,-0.4341,10.2608,0.5739,0.0553,1370.2375
2014-06-17,-0.4097,10.3595,0.5735,0.0550,1370.2315
2014-06-18,-0.4064,10.4404,0.5732,0.0546,1370.2260
2014-06-19,-0.4132,10.5468,0.5728,0.0542,1370.2206
2014-06-20,-0.4071,10.7034,0.5725,0.0538,1370.2152
2014-06-21,-0.3865,10.8227,0.5721,0.0534,1370.2102
2014-06-22,-0.3722,10.9660,0.5717,0.0530,1370.2050
2014-06-23,-0.3521,11.1218,0.5712,0.0526,1370.2003
2014-06-24,-0.3299,11.3111,0.5708,0.0522,1370.1954
2014-06-25,-0.3134,11.4895,0.5704,0.0518,1370.1908
2014-06-26,-0.2968,11.6326,0.5699,0.0514,1370.1863
2014-06-27,-0.2821,11.7549,0.5695,0.0509,1370.1817
2014-06-28,-0.2594,11.8233,0.5690,0.0505,1370.1774
2014-06-29,-0.2497,11.8617,0.5686,0.0501,1370.1729
2014-06-30,-0.2320,11.8609,0.5682,0.0497,1370.1686
2014-07-01,-0.2242,11.8800,0.5678,0.0493,1370.1641
