date,dv,temp,sm_ewt,lp_lake,lake
2012-11-06,0.0549,5.3867,0.4732,0.2116,1370.1719
2012-11-07,0.0442,5.3445,0.4748,0.2127,1370.1735
2012-11-08,0.0276,5.2388,0.4765,0.2137,1370.1751
2012-11-09,0.0165,5.0058,0.4780,0.2148,1370.1769
2012-11-10,0.0112,4.6543,0.4797,0.2159,1370.1786
2012-11-11,-0.0415,4.3187,0.4812,0.2170,1370.1805
2012-11-12,-0.0514,4.0637,0.4827,0.2181,1370.1823
2012-11-13,-0.0537,3.9627,0.4842,0.2192,1370.1842
2012-11-14,-0.0626,3.8889,0.4857,0.2203,1370.1860
2012-11-15,-0.0715,3.7566,0.4872,0.2213,1370.1879
2012-11-16,-0.0774,3.5123,0.4888,0.2224,1370.1898
2012-11-17,-0.0838,3.2919,0.4906,0.2235,1370.1917
2012-11-18,-0.0911,3.2261,0.4924,0.2246,1370.1937
2012-11-19,-0.0921,2.9918,0.4943,0.2256,1370.1956
2012-11-20,-0.0935,2.6365,0.4965,0.2267,1370.1976
2012-11-21,-0.0951,2.3037,0.4986,0.2277,1370.1995
2012-11-22,-0.1012,2.1235,0.5008,0.2288,1370.2015
2012-11-23,-0.1108,1.9836,0.5031,0.2299,1370.2035
2012-11-24,-0.1200,1.9365,0.5054,0.2309,1370.2056
2012-11-25,-0.1209,1.8571,0.5077,0.2320,1370.2077
2012-11-26,-0.1225,1.7733,0.5100,0.2330,1370.2098
2012-11-27,-0.1253,1.7107,0.5124,0.2341,1370.2121
2012-11-28,-0.1297,1.5502,0.5147,0.2351,1370.2143
2012-11-29,-0.1366,1.2701,0.5170,0.2361,1370.2165
2012-11-30,-0.1444,0.9738,0.5192,0.2372,1370.2189
2012-12-01,-0.1527,0.6588,0.5215,0.2382,1370.2213
2012-12-02,-0.1568,0.2718,0.5235,0.2392,1370.2239
2012-12-03,-0.1597,-0.0650,0.5256,0.2403,1370.2264
2012-12-04,-0.1623,-0.3367,0.5276,0.2413,1370.2291
2012-12-05,-0.1726,-0.5880,0.5294,0.2423,1370.2318
2012-12-06,-0.1847,-0.8121,0.5311,0.2433,1370.2345
2012-12-07,-0.1951,-1.0371,0.5327,0.2443,1370.2375
2012-12-08,-0.2053,-1.2374,0.5342,0.2453,1370.2404
2012-12-09,-0.2200,-1.4669,0.5354,0.2463,1370.2436
2012-12-10,-0.2350,-1.6781,0.5365,0.2473,1370.2467
2012-12-11,-0.2484,-1.6874,0.5375,0.2483,1370.2501
2012-12-12,-0.2591,-1.6198,0.5382,0.2493,1370.2535
2012-12-13,-0.2730,-1.6731,0.5387,0.2503,1370.2569
2012-12-14,-0.2843,-1.8450,0.5389,0.2513,1370.2607
2012-12-15,-0.2942,-2.1134,0.5390,0.2523,1370.2644
2012-12-16,-0.2994,-2.4548,0.5390,0.2533,1370.2684
2012-12-17,-0.3122,-2.7071,0.5390,0.2542,1370.2724
2012-12-18,-0.3172,-2.9064,0.5389,0.2552,1370.2767
2012-12-19,-0.3282,-3.0238,0.5388,0.2562,1370.2809
2012-12-20,-0.3397,-3.1359,0.5388,0.2571,1370.2852
2012-12-21,-0.3506,-3.2610,0.5387,0.2581,1370.2898
2012-12-22,-0.3595,-3.4185,0.5386,0.2590,1370.2943
2012-12-23,-0.3656,-3.5503,0.5384,0.2600,1370.2991
2012-12-24,-0.3707,-3.5595,0.5383,0.2609,1370.3038
2012-12-25,-0.3786,-3.5734,0.5382,0.2619,1370.3087
2012-12-26,-0.4044,-3.6499,0.5381,0.2628,1370.3135
2012-12-27,-0.4123,-3.6676,0.5379,0.2637,1370.3183
2012-12-28,-0.4208,-3.6458,0.5378,0.2646,1370.3233
2012-12-29,-0.4253,-3.7472,0.5376,0.2656,1370.3282
2012-12-30,-0.4317,-3.9776,0.5375,0.2665,1370.3333
2012-12-31,-0.4414,-4.1916,0.5373,0.2674,1370.3381
2013-01-01,-0.4445,-4.3539,0.5372,0.2683,1370.3432
2013-01-02,-0.4495,-4.4550,0.5370,0.2692,1370.3481
2013-01-03,-0.4512,-4.5318,0.5369,0.2701,1370.3529
2013-01-04,-0.4517,-4.5299,0.5368,0.2710,1370.3579
2013-01-05,-0.4544,-4.5782,0.5366,0.2719,1370.3626
2013-01-06,-0.4524,-4.6892,0.5365,0.2728,1370.3675
2013-01-07,-0.4531,-4.7017,0.5364,0.2736,1370.3721
2013-01-08,-0.4535,-4.7142,0.5363,0.2745,1370.3768
2013-01-09,-0.4536,-4.6688,0.5362,0.2754,1370.3813
2013-01-10,-0.4561,-4.5385,0.5361,0.2762,1370.3856
2013-01-11,-0.4627,-4.5229,0.5361,0.2771,1370.3900
2013-01-12,-0.4642,-4.6330,0.5360,0.2779,1370.3942
2013-01-13,-0.4633,-4.7970,0.5360,0.2788,1370.3984
2013-01-14,-0.4606,-4.9618,0.5360,0.2796,1370.4022
2013-01-15,-0.4595,-5.0420,0.5360,0.2805,1370.4061
2013-01-16,-0.4610,-5.0300,0.5360,0.2813,1370.4097
2013-01-17,-0.4599,-5.0010,0.5360,0.2821,1370.4131
2013-01-18,-0.4655,-4.9855,0.5360,0.2829,1370.4165
2013-01-19,-0.4662,-4.9106,0.5360,0.2838,1370.4196
2013-01-20,-0.4678,-4.8067,0.5360,0.2846,1370.4227
2013-01-21,-0.4689,-4.6751,0.5361,0.2854,1370.4255
2013-01-22,-0.4708,-4.6807,0.5361,0.2862,1370.4283
2013-01-23,-0.4675,-4.8082,0.5361,0.2869,1370.4309
2013-01-24,-0.4668,-4.8988,0.5361,0.2877,1370.4334
2013-01-25,-0.4671,-4.9096,0.5361,0.2885,1370.4359
2013-01-26,-0.4641,-4.8977,0.5362,0.2893,1370.4382
2013-01-27,-0.4619,-4.8986,0.5362,0.2901,1370.4405
2013-01-28,-0.4632,-4.9094,0.5362,0.2908,1370.4426
2013-01-29,-0.4647,-4.8904,0.5362,0.2916,1370.4448
2013-01-30,-0.4648,-4.8298,0.5363,0.2923,1370.4468
2013-01-31,-0.4699,-4.6703,0.5363,0.2931,1370.4488
2013-02-01,-0.4672,-4.4163,0.5364,0.2938,1370.4508
2013-02-02,-0.4661,-4.2010,0.5364,0.2945,1370.4527
2013-02-03,-0.4636,-4.1123,0.5364,0.2953,1370.4547
2013-02-04,-0.4582,-3.9713,0.5365,0.2960,1370.4565
2013-02-05,-0.4564,-3.8037,0.5365,0.2967,1370.4585
2013-02-06,-0.4500,-3.6690,0.5366,0.2974,1370.4603
2013-02-07,-0.4452,-3.5815,0.5366,0.2981,1370.4622
2013-02-08,-0.4404,-3.5250,0.5367,0.2988,1370.4642
2013-02-09,-0.4322,-3.4750,0.5367,0.2995,1370.4661
2013-02-10,-0.4227,-3.4588,0.5368,0.3002,1370.4682
2013-02-11,-0.4191,-3.3464,0.5368,0.3008,1370.4702
2013-02-12,-0.4106,-3.0326,0.5369,0.3015,1370.4723
2013-02-13,-0.4049,-2.5932,0.5370,0.3022,1370.4745
2013-02-14,-0.3978,-2.1549,0.5371,0.3028,1370.4767
2013-02-15,-0.3930,-1.7634,0.5373,0.3035,1370.4790
2013-02-16,-0.3864,-1.5611,0.5376,0.3041,1370.4814
2013-02-17,-0.3863,-1.4253,0.5381,0.3048,1370.4840
2013-02-18,-0.3800,-1.3498,0.5387,0.3054,1370.4865
2013-02-19,-0.3710,-1.2469,0.5395,0.3060,1370.4893
2013-02-20,-0.3613,-1.2246,0.5404,0.3066,1370.4921
2013-02-21,-0.3551,-1.2782,0.5413,0.3072,1370.4949
2013-02-22,-0.3348,-1.3552,0.5424,0.3078,1370.4980
2013-02-23,-0.3337,-1.4554,0.5436,0.3084,1370.5011
2013-02-24,-0.3289,-1.5275,0.5448,0.3090,1370.5044
2013-02-25,-0.3217,-1.4702,0.5461,0.3096,1370.5077
2013-02-26,-0.3144,-1.3897,0.5476,0.3102,1370.5113
2013-02-27,-0.3144,-1.2776,0.5490,0.3108,1370.5149
2013-02-28,-0.3498,-1.1014,0.5506,0.3113,1370.5186
2013-03-01,-0.4169,-0.8419,0.5521,0.3119,1370.5225
2013-03-02,-0.4606,-0.5732,0.5537,0.3124,1370.5265
2013-03-03,-0.4634,-0.4073,0.5553,0.3130,1370.5307
2013-03-04,-0.4634,-0.2925,0.5570,0.3135,1370.5350
2013-03-05,-0.4661,-0.1357,0.5587,0.3140,1370.5395
2013-03-06,-0.4770,0.0519,0.5603,0.3146,1370.5440
2013-03-07,-0.4912,0.1676,0.5621,0.3151,1370.5487
2013-03-08,-0.4958,0.2960,0.5637,0.3156,1370.5537
2013-03-09,-0.5010,0.3679,0.5654,0.3161,1370.5587
2013-03-10,-0.5045,0.3925,0.5670,0.3166,1370.5640
2013-03-11,-0.5118,0.3461,0.5686,0.3170,1370.5693
2013-03-12,-0.5151,0.3574,0.5703,0.3175,1370.5750
2013-03-13,-0.5200,0.5192,0.5718,0.3180,1370.5806
2013-03-14,-0.5288,0.7213,0.5733,0.3185,1370.5864
2013-03-15,-0.5364,0.9021,0.5747,0.3189,1370.5926
2013-03-16,-0.5442,1.0223,0.5761,0.3194,1370.5987
2013-03-17,-0.5521,1.1022,0.5774,0.3198,1370.6053
2013-03-18,-0.5573,1.1039,0.5789,0.3202,1370.6118
2013-03-19,-0.5602,1.0969,0.5805,0.3207,1370.6188
2013-03-20,-0.5685,1.0560,0.5820,0.3211,1370.6256
2013-03-21,-0.6640,1.1380,0.5838,0.3215,1370.6325
2013-03-22,-0.6679,1.2841,0.5855,0.3219,1370.6398
2013-03-23,-0.6805,1.3688,0.5873,0.3223,1370.6469
2013-03-24,-0.6811,1.4134,0.5890,0.3227,1370.6543
2013-03-25,-0.6913,1.5190,0.5908,0.3231,1370.6615
2013-03-26,-0.6969,1.6847,0.5927,0.3235,1370.6689
2013-03-27,-0.7040,1.8872,0.5945,0.3238,1370.6759
2013-03-28,-0.7105,2.1490,0.5964,0.3242,1370.6828
2013-03-29,-0.7178,2.4281,0.5982,0.3245,1370.6900
2013-03-30,-0.7263,2.7642,0.6000,0.3249,1370.6966
2013-03-31,-0.7380,3.0694,0.6017,0.3252,1370.7034
2013-04-01,-0.7477,3.2001,0.6034,0.3256,1370.7098
2013-04-02,-0.7529,3.1790,0.6052,0.3259,1370.7161
2013-04-03,-0.7637,3.1785,0.6067,0.3262,1370.7219
2013-04-04,-0.7741,3.2908,0.6083,0.3265,1370.7274
2013-04-05,-0.7893,3.5314,0.6097,0.3268,1370.7329
2013-04-06,-0.7958,3.7218,0.6112,0.3271,1370.7378
2013-04-07,-0.8070,3.8216,0.6124,0.3274,1370.7425
2013-04-08,-0.8200,3.9218,0.6136,0.3277,1370.7465
2013-04-09,-0.8314,4.0128,0.6146,0.3279,1370.7503
2013-04-10,-0.9111,4.1970,0.6155,0.3282,1370.7535
2013-04-11,-0.9411,4.4108,0.6164,0.3285,1370.7562
2013-04-12,-0.9717,4.6208,0.6170,0.3287,1370.7585
2013-04-13,-0.9830,4.8155,0.6175,0.3289,1370.7601
2013-04-14,-0.9950,5.0078,0.6178,0.3292,1370.7612
2013-04-15,-1.0092,5.1326,0.6180,0.3294,1370.7616
2013-04-16,-1.0233,5.2566,0.6180,0.3296,1370.7614
2013-04-17,-1.0331,5.4011,0.6180,0.3298,1370.7606
2013-04-18,-1.0471,5.5593,0.6180,0.3300,1370.7590
2013-04-19,-1.0525,5.6691,0.6180,0.3302,1370.7567
2013-04-20,-1.0619,5.7556,0.6180,0.3304,1370.7538
2013-04-21,-1.0744,5.8271,0.6180,0.3306,1370.7502
2013-04-22,-1.0790,6.0335,0.6180,0.3308,1370.7462
2013-04-23,-1.0780,6.3466,0.6180,0.3309,1370.7415
2013-04-24,-1.0837,6.6044,0.6180,0.3311,1370.7365
2013-04-25,-1.0931,6.8754,0.6180,0.3312,1370.7311
2013-04-26,-1.0390,7.1644,0.6180,0.3314,1370.7252
2013-04-27,-1.0522,7.3347,0.6180,0.3315,1370.7192
2013-04-28,-1.0614,7.4252,0.6180,0.3316,1370.7126
2013-04-29,-1.0639,7.3997,0.6180,0.3318,1370.7061
2013-04-30,-1.0792,7.3877,0.6180,0.3319,1370.6991
2013-05-01,-1.0776,7.3868,0.6180,0.3320,1370.6923
2013-05-02,-1.0859,7.3821,0.6180,0.3321,1370.6854
2013-05-03,-1.0808,7.4905,0.6180,0.3322,1370.6781
2013-05-04,-1.0741,7.6817,0.6180,0.3322,1370.6712
2013-05-05,-1.0789,7.7644,0.6180,0.3323,1370.6640
2013-05-06,-1.0835,7.8227,0.6180,0.3324,1370.6572
2013-05-07,-1.1008,7.9563,0.6180,0.3324,1370.6503
2013-05-08,-1.1054,8.1314,0.6180,0.3325,1370.6439
2013-05-09,-1.0997,8.3363,0.6180,0.3325,1370.6377
2013-05-10,-1.0948,8.6395,0.6180,0.3326,1370.6315
2013-05-11,-1.0963,9.0618,0.6180,0.3326,1370.6260
2013-05-12,-1.0932,9.4385,0.6180,0.3326,1370.6205
2013-05-13,-1.0947,9.6825,0.6180,0.3326,1370.6157
2013-05-14,-1.0956,9.9211,0.6180,0.3326,1370.6113
2013-05-15,-1.0938,10.1527,0.6180,0.3326,1370.6075
2013-05-16,-1.1057,10.3713,0.6180,0.3326,1370.6042
2013-05-17,-1.1042,10.6143,0.6179,0.3326,1370.6015
2013-05-18,-1.0975,10.9684,0.6178,0.3326,1370.5995
2013-05-19,-1.0936,11.3366,0.6176,0.3325,1370.5982
2013-05-20,-1.0936,11.7054,0.6174,0.3325,1370.5975
2013-05-21,-1.0895,11.8882,0.6170,0.3324,1370.5974
2013-05-22,-1.0944,12.0080,0.6166,0.3324,1370.5979
2013-05-23,-1.0966,12.1246,0.6162,0.3323,1370.5988
2013-05-24,-1.0941,12.3112,0.6157,0.3322,1370.6002
2013-05-25,-1.0876,12.5779,0.6151,0.3322,1370.6020
2013-05-26,-1.0809,12.7867,0.6145,0.3321,1370.6043
2013-05-27,-1.0740,12.9558,0.6138,0.3320,1370.6067
2013-05-28,-1.0720,13.1546,0.6131,0.3319,1370.6096
2013-05-29,-1.0692,13.3730,0.6124,0.3318,1370.6125
2013-05-30,-1.0568,13.5843,0.6115,0.3317,1370.6156
2013-05-31,-1.0449,13.8191,0.6107,0.3315,1370.6190
2013-06-01,-1.0313,14.1460,0.6099,0.3314,1370.6223
2013-06-02,-1.0224,14.5358,0.6090,0.3313,1370.6258
2013-06-03,-1.0164,14.8678,0.6081,0.3311,1370.6291
2013-06-04,-1.0046,15.1008,0.6071,0.3310,1370.6326
2013-06-05,-1.0053,15.2644,0.6062,0.3308,1370.6358
2013-06-06,-0.9829,15.3946,0.6052,0.3306,1370.6388
2013-06-07,-0.9796,15.5454,0.6043,0.3305,1370.6418
2013-06-08,-0.9746,15.7320,0.6032,0.3303,1370.6444
2013-06-09,-0.9680,15.9474,0.6022,0.3301,1370.6469
2013-06-10,-0.9615,16.1402,0.6013,0.3299,1370.6489
2013-06-11,-0.9546,16.3072,0.6002,0.3297,1370.6506
2013-06-12,-0.9479,16.3914,0.5992,0.3295,1370.6518
2013-06-13,-0.9411,16.4226,0.5982,0.3293,1370.6526
2013-06-14,-0.9338,16.4337,0.5972,0.3290,1370.6529
2013-06-15,-0.9268,16.4709,0.5962,0.3288,1370.6526
2013-06-16,-0.9193,16.5668,0.5953,0.3286,1370.6516
2013-06-17,-0.9120,16.6829,0.5943,0.3283,1370.6501
2013-06-18,-0.9042,16.8808,0.5932,0.3281,1370.6478
2013-06-19,-0.8967,17.1296,0.5921,0.3278,1370.6449
2013-06-20,-0.8890,17.3963,0.5909,0.3275,1370.6414
2013-06-21,-0.8809,17.6564,0.5897,0.3273,1370.6371
2013-06-22,-0.8729,17.8567,0.5884,0.3270,1370.6324
2013-06-23,-0.8645,18.0380,0.5871,0.3267,1370.6270
2013-06-24,-0.8563,18.2720,0.5858,0.3264,1370.6213
2013-06-25,-0.8476,18.4665,0.5844,0.3261,1370.6149
2013-06-26,-0.8391,18.5840,0.5830,0.3258,1370.6083
2013-06-27,-0.8305,18.7133,0.5816,0.3255,1370.6013
2013-06-28,-0.8214,18.8001,0.5801,0.3251,1370.5936
2013-06-29,-0.8125,18.9758,0.5786,0.3248,1370.5860
2013-06-30,-0.8031,19.1575,0.5771,0.3245,1370.5776
2013-07-01,-0.7939,19.3651,0.5756,0.3241,1370.5694
2013-07-02,-0.7842,19.6048,0.5740,0.3238,1370.5605
2013-07-03,-0.7747,19.7649,0.5724,0.3234,1370.5519
2013-07-04,-0.7651,19.8040,0.5708,0.3231,1370.5430
2013-07-05,-0.7549,19.9372,0.5692,0.3227,1370.5337
2013-07-06,-0.7450,20.0739,0.5675,0.3223,1370.5246
2013-07-07,-0.7345,20.2043,0.5659,0.3219,1370.5151
2013-07-08,-0.7242,20.2942,0.5642,0.3215,1370.5059
2013-07-09,-0.7134,20.3357,0.5625,0.3211,1370.4963
2013-07-10,-0.7029,20.3548,0.5608,0.3207,1370.4872
2013-07-11,-0.6922,20.3348,0.5591,0.3203,1370.4781
2013-07-12,-0.6809,20.3031,0.5574,0.3199,1370.4687
2013-07-13,-0.6698,20.3332,0.5556,0.3195,1370.4599
2013-07-14,-0.6582,20.3441,0.5539,0.3190,1370.4508
2013-07-15,-0.6468,20.4064,0.5522,0.3186,1370.4423
2013-07-16,-0.6348,20.5645,0.5505,0.3182,1370.4337
2013-07-17,-0.6232,20.6822,0.5486,0.3177,1370.4257
2013-07-18,-0.6113,20.7489,0.5466,0.3173,1370.4179
2013-07-19,-0.5988,20.7904,0.5444,0.3168,1370.4102
2013-07-20,-0.5866,20.8159,0.5421,0.3163,1370.4031
2013-07-21,-0.5737,20.9679,0.5397,0.3159,1370.3960
2013-07-22,-0.5612,21.1364,0.5372,0.3154,1370.3895
