date,dv,temp,sm_ewt,lp_lake,lake
2007-01-02,-0.0310,-4.2153,0.3967,0.3102,1370.8700
2007-01-03,-0.0352,-4.2207,0.3970,0.3113,1370.8743
2007-01-04,-0.0401,-4.2325,0.3973,0.3124,1370.8788
2007-01-05,-0.0451,-4.1560,0.3977,0.3135,1370.8830
2007-01-06,-0.0433,-4.0424,0.3980,0.3146,1370.8874
2007-01-07,-0.0496,-3.9332,0.3983,0.3157,1370.8916
2007-01-08,-0.0542,-3.8184,0.3986,0.3167,1370.8957
2007-01-09,-0.0556,-3.7298,0.3988,0.3178,1370.9000
2007-01-10,-0.0553,-3.6797,0.3991,0.3189,1370.9041
2007-01-11,-0.0602,-3.6027,0.3993,0.3199,1370.9083
2007-01-12,-0.0617,-3.4971,0.3995,0.3210,1370.9122
2007-01-13,-0.0649,-3.4728,0.3997,0.3220,1370.9163
2007-01-14,-0.0646,-3.4872,0.3999,0.3231,1370.9202
2007-01-15,-0.0642,-3.6036,0.4000,0.3241,1370.9239
2007-01-16,-0.0592,-3.6726,0.4002,0.3252,1370.9278
2007-01-17,-0.0606,-3.5669,0.4003,0.3262,1370.9315
2007-01-18,-0.0623,-3.3556,0.4004,0.3272,1370.9352
2007-01-19,-0.0591,-3.1680,0.4006,0.3282,1370.9387
2007-01-20,-0.0593,-2.9322,0.4007,0.3292,1370.9423
2007-01-21,-0.0576,-2.8375,0.4008,0.3302,1370.9457
2007-01-22,-0.0554,-2.7277,0.4009,0.3312,1370.9490
2007-01-23,-0.0537,-2.5163,0.4010,0.3322,1370.9525
2007-01-24,-0.0501,-2.3114,0.4011,0.3332,1370.9557
2007-01-25,-0.0520,-2.3121,0.4011,0.3342,1370.9591
2007-01-26,-0.0554,-2.3186,0.4012,0.3352,1370.9622
2007-01-27,-0.0553,-2.3680,0.4013,0.3361,1370.9655
2007-01-28,-0.0546,-2.3802,0.4014,0.3371,1370.9686
2007-01-29,-0.0542,-2.4058,0.4015,0.3381,1370.9717
2007-01-30,-0.0536,-2.3967,0.4016,0.3390,1370.9750
2007-01-31,-0.0478,-2.4031,0.4016,0.3399,1370.9780
2007-02-01,-0.0477,-2.4113,0.4017,0.3409,1370.9812
2007-02-02,-0.0486,-2.3903,0.4018,0.3418,1370.9843
2007-02-03,-0.0482,-2.2918,0.4019,0.3427,1370.9875
2007-02-04,-0.0442,-2.2351,0.4020,0.3437,1370.9906
2007-02-05,-0.0457,-2.1064,0.4020,0.3446,1370.9936
2007-02-06,-0.0441,-1.7959,0.4021,0.3455,1370.9969
2007-02-07,-0.0441,-1.5683,0.4022,0.3464,1371.0000
2007-02-08,-0.0405,-1.3626,0.4023,0.3473,1371.0033
2007-02-09,-0.0458,-1.2707,0.4024,0.3481,1371.0065
2007-02-10,-0.0493,-1.1557,0.4025,0.3490,1371.0098
2007-02-11,-0.0506,-1.0149,0.4026,0.3499,1371.0130
2007-02-12,-0.0533,-0.6730,0.4027,0.3507,1371.0163
2007-02-13,-0.0462,-0.2618,0.4029,0.3516,1371.0198
2007-02-14,-0.0473,0.1289,0.4030,0.3524,1371.0232
2007-02-15,-0.0467,0.5752,0.4031,0.3533,1371.0268
2007-02-16,-0.0493,1.0287,0.4033,0.3541,1371.0303
2007-02-17,-0.0477,1.4634,0.4034,0.3550,1371.0341
2007-02-18,-0.0452,1.8587,0.4036,0.3558,1371.0377
2007-02-19,-0.0467,2.2631,0.4038,0.3566,1371.0414
2007-02-20,-0.0410,2.4939,0.4040,0.3574,1371.0452
2007-02-21,-0.0466,2.7425,0.4042,0.3582,1371.0490
2007-02-22,-0.0497,3.0167,0.4044,0.3590,1371.0529
2007-02-23,-0.0497,3.3254,0.4046,0.3598,1371.0567
2007-02-24,-0.0535,3.6489,0.4049,0.3606,1371.0607
2007-02-25,-0.0467,3.9439,0.4051,0.3613,1371.0645
2007-02-26,-0.0480,4.1325,0.4053,0.3621,1371.0682
2007-02-27,-0.0473,4.2300,0.4056,0.3628,1371.0722
2007-02-28,-0.0418,4.3456,0.4058,0.3636,1371.0759
2007-03-01,-0.0534,4.4982,0.4060,0.3643,1371.0798
2007-03-02,-0.0584,4.7032,0.4063,0.3651,1371.0834
2007-03-03,-0.0581,4.9589,0.4065,0.3658,1371.0872
2007-03-04,-0.0587,5.1898,0.4068,0.3665,1371.0907
2007-03-05,-0.0533,5.4574,0.4070,0.3672,1371.0942
2007-03-06,-0.0419,5.7664,0.4072,0.3679,1371.0977
2007-03-07,-0.0359,5.9621,0.4074,0.3686,1371.1010
2007-03-08,-0.0412,6.0922,0.4076,0.3693,1371.1043
2007-03-09,-0.0418,6.2250,0.4078,0.3700,1371.1074
2007-03-10,-0.0370,6.2415,0.4080,0.3707,1371.1105
2007-03-11,-0.0329,6.2742,0.4082,0.3714,1371.1134
2007-03-12,-0.0321,6.1805,0.4084,0.3720,1371.1161
2007-03-13,-0.0285,6.1087,0.4085,0.3727,1371.1188
2007-03-14,-0.0272,6.0822,0.4087,0.3733,1371.1213
2007-03-15,-0.0263,6.1327,0.4088,0.3740,1371.1237
2007-03-16,-0.0274,6.2740,0.4089,0.3746,1371.1258
2007-03-17,-0.0232,6.4278,0.4090,0.3752,1371.1279
2007-03-18,-0.0234,6.5918,0.4091,0.3758,1371.1296
2007-03-19,-0.0190,6.7822,0.4092,0.3764,1371.1312
2007-03-20,-0.0151,6.7722,0.4093,0.3770,1371.1327
2007-03-21,-0.0137,6.7785,0.4094,0.3776,1371.1339
2007-03-22,-0.0145,6.7691,0.4095,0.3782,1371.1350
2007-03-23,-0.0204,6.9293,0.4096,0.3788,1371.1359
2007-03-24,-0.0190,7.0572,0.4097,0.3793,1371.1366
2007-03-25,-0.0197,7.0843,0.4098,0.3799,1371.1372
2007-03-26,-0.0152,7.1478,0.4099,0.3805,1371.1376
2007-03-27,-0.0138,7.4000,0.4100,0.3810,1371.1379
2007-03-28,-0.0087,7.6386,0.4101,0.3815,1371.1380
2007-03-29,-0.0099,7.8575,0.4102,0.3821,1371.1380
2007-03-30,-0.0143,8.1162,0.4102,0.3826,1371.1379
2007-03-31,-0.0201,8.5324,0.4103,0.3831,1371.1377
2007-04-01,-0.0164,8.9103,0.4104,0.3836,1371.1373
2007-04-02,-0.0112,9.3019,0.4105,0.3841,1371.1369
2007-04-03,-0.0067,9.6629,0.4105,0.3846,1371.1363
2007-04-04,-0.0057,9.8205,0.4106,0.3851,1371.1356
2007-04-05,-0.0086,9.8652,0.4107,0.3855,1371.1349
2007-04-06,-0.0127,9.8796,0.4107,0.3860,1371.1340
2007-04-07,-0.0114,9.9228,0.4108,0.3865,1371.1331
2007-04-08,-0.0151,9.9707,0.4108,0.3869,1371.1321
2007-04-09,-0.0213,10.1259,0.4109,0.3874,1371.1311
2007-04-10,-0.0216,10.2969,0.4109,0.3878,1371.1300
2007-04-11,-0.0118,10.5600,0.4109,0.3882,1371.1289
2007-04-12,-0.0140,10.8118,0.4110,0.3886,1371.1276
2007-04-13,-0.0121,11.0245,0.4110,0.3891,1371.1264
2007-04-14,-0.0110,11.1032,0.4110,0.3895,1371.1251
2007-04-15,-0.0145,11.1364,0.4110,0.3899,1371.1238
2007-04-16,-0.0178,11.2681,0.4110,0.3902,1371.1226
2007-04-17,-0.0151,11.3734,0.4110,0.3906,1371.1212
2007-04-18,-0.0208,11.4926,0.4108,0.3910,1371.1199
2007-04-19,-0.0277,11.6318,0.4107,0.3914,1371.1185
2007-04-20,-0.0275,11.7729,0.4104,0.3917,1371.1172
2007-04-21,-0.0311,11.9159,0.4101,0.3921,1371.1158
2007-04-22,-0.0340,11.9903,0.4097,0.3924,1371.1145
2007-04-23,-0.0317,12.0049,0.4093,0.3927,1371.1132
2007-04-24,-0.0245,12.0511,0.4088,0.3931,1371.1117
2007-04-25,-0.0163,12.1181,0.4083,0.3934,1371.1104
2007-04-26,-0.0229,12.2194,0.4077,0.3937,1371.1089
2007-04-27,-0.0280,12.3580,0.4071,0.3940,1371.1076
2007-04-28,-0.0335,12.6603,0.4065,0.3943,1371.1061
2007-04-29,-0.0267,12.8613,0.4058,0.3946,1371.1046
2007-04-30,-0.0265,13.0444,0.4051,0.3948,1371.1032
2007-05-01,-0.0146,13.2078,0.4044,0.3951,1371.1016
2007-05-02,-0.0078,13.3596,0.4037,0.3954,1371.1001
2007-05-03,-0.0132,13.5243,0.4029,0.3956,1371.0985
2007-05-04,-0.0152,13.7666,0.4022,0.3959,1371.0970
2007-05-05,-0.0168,14.0053,0.4014,0.3961,1371.0953
2007-05-06,-0.0218,14.2020,0.4007,0.3963,1371.0937
2007-05-07,-0.0202,14.2953,0.3999,0.3965,1371.0920
2007-05-08,-0.0145,14.2149,0.3992,0.3968,1371.0903
