date,dv,temp,sm_ewt,lp_lake,lake
2017-11-10,0.0537,6.5727,0.2652,-0.0500,1369.8752
2017-11-11,0.0570,6.3936,0.2651,-0.0508,1369.8797
2017-11-12,0.0620,6.1158,0.2651,-0.0517,1369.8842
2017-11-13,0.0603,5.9601,0.2650,-0.0525,1369.8882
2017-11-14,0.0602,5.7780,0.2650,-0.0534,1369.8920
2017-11-15,0.0618,5.6924,0.2650,-0.0542,1369.8957
2017-11-16,0.0634,5.6020,0.2650,-0.0551,1369.8989
2017-11-17,0.0635,5.4781,0.2650,-0.0559,1369.9019
2017-11-18,0.0585,5.2094,0.2651,-0.0568,1369.9045
2017-11-19,0.0538,4.9691,0.2651,-0.0577,1369.9068
2017-11-20,0.0504,4.7525,0.2652,-0.0586,1369.9087
2017-11-21,0.0486,4.6519,0.2653,-0.0594,1369.9104
2017-11-22,0.0519,4.4214,0.2653,-0.0603,1369.9118
2017-11-23,0.0470,4.1170,0.2654,-0.0612,1369.9130
2017-11-24,0.0502,3.9738,0.2655,-0.0621,1369.9140
2017-11-25,0.0535,3.8053,0.2656,-0.0630,1369.9147
2017-11-26,0.0554,3.6904,0.2658,-0.0639,1369.9153
2017-11-27,0.0504,3.5995,0.2659,-0.0648,1369.9157
2017-11-28,0.0519,3.5220,0.2660,-0.0657,1369.9159
2017-11-29,0.0436,3.4327,0.2662,-0.0667,1369.9161
2017-11-30,0.0369,3.3872,0.2663,-0.0676,1369.9161
2017-12-01,0.0303,3.3237,0.2665,-0.0685,1369.9161
2017-12-02,0.0220,3.1807,0.2666,-0.0694,1369.9160
2017-12-03,0.0222,2.9887,0.2668,-0.0704,1369.9158
2017-12-04,0.0255,2.7701,0.2670,-0.0713,1369.9156
2017-12-05,0.0256,2.5670,0.2671,-0.0723,1369.9155
2017-12-06,0.0239,2.4083,0.2673,-0.0732,1369.9153
2017-12-07,0.0173,2.3253,0.2675,-0.0742,1369.9152
2017-12-08,0.0189,2.3076,0.2677,-0.0751,1369.9151
2017-12-09,0.0156,2.3377,0.2679,-0.0761,1369.9151
2017-12-10,0.0107,2.3857,0.2681,-0.0770,1369.9153
2017-12-11,-0.0093,2.3183,0.2682,-0.0780,1369.9155
2017-12-12,-0.0143,2.2338,0.2684,-0.0790,1369.9159
2017-12-13,-0.0125,2.1693,0.2686,-0.0800,1369.9164
2017-12-14,-0.0124,2.1465,0.2688,-0.0809,1369.9171
2017-12-15,-0.0124,2.0455,0.2690,-0.0819,1369.9180
2017-12-16,-0.0189,1.9618,0.2692,-0.0829,1369.9191
2017-12-17,-0.0188,1.8826,0.2695,-0.0839,1369.9205
2017-12-18,-0.0184,1.7315,0.2698,-0.0849,1369.9221
2017-12-19,-0.0233,1.7069,0.2701,-0.0859,1369.9239
2017-12-20,-0.0331,1.8373,0.2704,-0.0869,1369.9260
2017-12-21,-0.0333,1.9228,0.2707,-0.0879,1369.9283
2017-12-22,-0.0315,1.7082,0.2710,-0.0889,1369.9308
2017-12-23,-0.0299,1.4321,0.2714,-0.0899,1369.9335
2017-12-24,-0.0332,1.1227,0.2718,-0.0910,1369.9364
2017-12-25,-0.0231,0.8249,0.2722,-0.0920,1369.9394
2017-12-26,-0.0233,0.5858,0.2726,-0.0930,1369.9426
2017-12-27,-0.0282,0.4182,0.2730,-0.0940,1369.9460
2017-12-28,-0.0266,0.1504,0.2735,-0.0951,1369.9494
2017-12-29,-0.0265,-0.0001,0.2739,-0.0961,1369.9532
2017-12-30,-0.0281,-0.0210,0.2744,-0.0971,1369.9568
2017-12-31,-0.0366,-0.0100,0.2748,-0.0982,1369.9608
2018-01-01,-0.0449,0.0791,0.2753,-0.0992,1369.9647
2018-01-02,-0.0435,0.1539,0.2757,-0.1003,1369.9686
2018-01-03,-0.0418,0.1284,0.2762,-0.1013,1369.9729
2018-01-04,-0.0433,0.1677,0.2767,-0.1024,1369.9770
2018-01-05,-0.0465,0.3388,0.2771,-0.1035,1369.9813
2018-01-06,-0.0465,0.5155,0.2776,-0.1045,1369.9855
2018-01-07,-0.0700,0.7086,0.2780,-0.1056,1369.9900
2018-01-08,-0.0717,0.8049,0.2785,-0.1067,1369.9942
2018-01-09,-0.0767,0.8947,0.2789,-0.1077,1369.9985
2018-01-10,-0.0767,1.0376,0.2793,-0.1088,1370.0030
2018-01-11,-0.0800,1.2352,0.2798,-0.1099,1370.0073
2018-01-12,-0.0987,1.2753,0.2801,-0.1110,1370.0117
2018-01-13,-0.0987,1.2953,0.2805,-0.1121,1370.0159
2018-01-14,-0.0987,1.3791,0.2809,-0.1131,1370.0203
2018-01-15,-0.1022,1.4619,0.2813,-0.1142,1370.0244
2018-01-16,-0.1055,1.5385,0.2816,-0.1153,1370.0285
2018-01-17,-0.1072,1.4895,0.2820,-0.1164,1370.0327
2018-01-18,-0.1091,1.5494,0.2823,-0.1175,1370.0366
2018-01-19,-0.1157,1.6459,0.2827,-0.1186,1370.0407
2018-01-20,-0.1157,1.7041,0.2830,-0.1197,1370.0445
2018-01-21,-0.1156,1.5270,0.2834,-0.1209,1370.0484
2018-01-22,-0.1190,1.5033,0.2837,-0.1220,1370.0520
2018-01-23,-0.1191,1.4813,0.2841,-0.1231,1370.0556
2018-01-24,-0.1189,1.3511,0.2844,-0.1242,1370.0593
2018-01-25,-0.1322,1.2318,0.2848,-0.1253,1370.0628
2018-01-26,-0.1323,1.0346,0.2851,-0.1264,1370.0664
2018-01-27,-0.1323,0.8871,0.2854,-0.1276,1370.0698
2018-01-28,-0.1374,0.8069,0.2858,-0.1287,1370.0732
2018-01-29,-0.1341,0.7385,0.2861,-0.1298,1370.0765
2018-01-30,-0.1374,0.6081,0.2864,-0.1310,1370.0798
2018-01-31,-0.1406,0.5494,0.2868,-0.1321,1370.0831
2018-02-01,-0.1354,0.6514,0.2871,-0.1332,1370.0862
2018-02-02,-0.1322,0.7072,0.2874,-0.1344,1370.0895
2018-02-03,-0.1387,0.6681,0.2877,-0.1355,1370.0926
2018-02-04,-0.1383,0.6443,0.2880,-0.1367,1370.0957
2018-02-05,-0.1347,0.5955,0.2884,-0.1378,1370.0987
