date,dv,temp,sm_ewt,lp_lake,lake
2016-12-06,0.1990,1.0723,0.2499,-0.2215,1369.1887
2016-12-07,0.1928,0.7429,0.2504,-0.2218,1369.1917
2016-12-08,0.1883,0.3303,0.2510,-0.2221,1369.1946
2016-12-09,0.1784,0.0727,0.2515,-0.2224,1369.1976
2016-12-10,0.1782,-0.0302,0.2519,-0.2226,1369.2005
2016-12-11,0.1722,-0.1566,0.2524,-0.2229,1369.2036
2016-12-12,0.1655,-0.2796,0.2529,-0.2231,1369.2066
2016-12-13,0.1616,-0.4097,0.2533,-0.2234,1369.2096
2016-12-14,0.1555,-0.5628,0.2538,-0.2236,1369.2127
2016-12-15,0.1497,-0.7185,0.2542,-0.2238,1369.2157
2016-12-16,0.1490,-0.9406,0.2545,-0.2241,1369.2188
2016-12-17,0.1451,-1.2338,0.2549,-0.2243,1369.2218
2016-12-18,0.1433,-1.4372,0.2553,-0.2245,1369.2248
2016-12-19,0.1379,-1.4315,0.2557,-0.2247,1369.2278
2016-12-20,0.1341,-1.3955,0.2560,-0.2249,1369.2307
2016-12-21,0.1307,-1.5302,0.2564,-0.2251,1369.2337
2016-12-22,0.1301,-1.7404,0.2567,-0.2253,1369.2366
2016-12-23,0.1268,-1.8416,0.2571,-0.2255,1369.2397
2016-12-24,0.1250,-1.8880,0.2574,-0.2256,1369.2426
2016-12-25,0.1179,-1.9584,0.2578,-0.2258,1369.2456
2016-12-26,0.1060,-2.0424,0.2581,-0.2260,1369.2485
2016-12-27,0.1028,-2.2378,0.2585,-0.2261,1369.2515
2016-12-28,0.1013,-2.4627,0.2588,-0.2263,1369.2546
2016-12-29,0.0984,-2.5685,0.2592,-0.2264,1369.2576
2016-12-30,0.0935,-2.6337,0.2595,-0.2265,1369.2607
2016-12-31,0.0904,-2.5964,0.2599,-0.2267,1369.2637
2017-01-01,0.0858,-2.5410,0.2602,-0.2268,1369.2669
2017-01-02,0.0811,-2.3998,0.2606,-0.2269,1369.2700
2017-01-03,0.0780,-2.1876,0.2610,-0.2270,1369.2731
2017-01-04,0.0697,-2.0282,0.2614,-0.2271,1369.2764
2017-01-05,0.0681,-1.9718,0.2618,-0.2272,1369.2797
2017-01-06,0.0569,-1.8269,0.2622,-0.2273,1369.2831
2017-01-07,0.0531,-1.6876,0.2626,-0.2274,1369.2864
2017-01-08,0.0410,-1.4700,0.2631,-0.2274,1369.2899
2017-01-09,0.0354,-1.3382,0.2635,-0.2275,1369.2933
2017-01-10,0.0293,-1.2768,0.2640,-0.2276,1369.2968
2017-01-11,0.0246,-1.1538,0.2644,-0.2276,1369.3005
2017-01-12,0.0166,-1.0896,0.2650,-0.2277,1369.3041
2017-01-13,0.0068,-1.1233,0.2655,-0.2277,1369.3080
2017-01-14,-0.0061,-1.1698,0.2660,-0.2277,1369.3117
