date,dv,temp,sm_ewt,lp_lake,lake
2008-07-31,-0.0649,21.0448,0.3266,0.1110,1370.8122
2008-08-01,-0.0649,21.0127,0.3272,0.1123,1370.8058
2008-08-02,-0.0683,20.9135,0.3277,0.1136,1370.7994
2008-08-03,-0.0668,20.7274,0.3282,0.1149,1370.7925
2008-08-04,-0.0662,20.5343,0.3288,0.1162,1370.7858
2008-08-05,-0.0708,20.3983,0.3292,0.1175,1370.7788
2008-08-06,-0.0704,20.3601,0.3297,0.1188,1370.7719
2008-08-07,-0.0703,20.3227,0.3301,0.1201,1370.7646
2008-08-08,-0.0665,20.2880,0.3305,0.1214,1370.7576
2008-08-09,-0.0605,20.2480,0.3309,0.1227,1370.7504
2008-08-10,-0.0563,20.1995,0.3312,0.1240,1370.7428
2008-08-11,-0.0574,20.0703,0.3315,0.1254,1370.7354
2008-08-12,-0.0555,19.9467,0.3317,0.1267,1370.7276
2008-08-13,-0.0523,19.8028,0.3319,0.1280,1370.7201
2008-08-14,-0.0500,19.6562,0.3320,0.1294,1370.7121
2008-08-15,-0.0524,19.5616,0.3320,0.1307,1370.7043
2008-08-16,-0.0538,19.4813,0.3320,0.1321,1370.6965
2008-08-17,-0.0554,19.4230,0.3320,0.1334,1370.6882
2008-08-18,-0.0568,19.3565,0.3320,0.1348,1370.6801
2008-08-19,-0.0611,19.2612,0.3320,0.1362,1370.6717
2008-08-20,-0.0623,19.1473,0.3319,0.1376,1370.6635
2008-08-21,-0.0641,19.0648,0.3319,0.1389,1370.6548
2008-08-22,-0.0678,19.0175,0.3319,0.1403,1370.6465
2008-08-23,-0.0705,18.9512,0.3318,0.1417,1370.6382
2008-08-24,-0.0704,18.8153,0.3318,0.1431,1370.6294
2008-08-25,-0.0702,18.6713,0.3317,0.1445,1370.6210
2008-08-26,-0.0773,18.5590,0.3317,0.1459,1370.6122
2008-08-27,-0.0902,18.5244,0.3316,0.1473,1370.6038
2008-08-28,-0.1000,18.4801,0.3315,0.1487,1370.5951
2008-08-29,-0.1035,18.4143,0.3315,0.1502,1370.5867
2008-08-30,-0.1084,18.3151,0.3314,0.1516,1370.5784
2008-08-31,-0.1203,18.2202,0.3313,0.1530,1370.5697
2008-09-01,-0.1207,18.1037,0.3312,0.1545,1370.5615
2008-09-02,-0.1365,17.9671,0.3312,0.1559,1370.5530
2008-09-03,-0.1333,17.8469,0.3311,0.1574,1370.5449
2008-09-04,-0.1366,17.6932,0.3310,0.1588,1370.5366
2008-09-05,-0.1322,17.4574,0.3309,0.1603,1370.5287
2008-09-06,-0.1373,17.2267,0.3308,0.1617,1370.5210
2008-09-07,-0.1382,17.0685,0.3307,0.1632,1370.5130
