date,dv,temp,sm_ewt,lp_lake,lake
2007-01-07,0.0452,-7.1513,0.5975,0.3084,1370.8916
2007-01-08,0.0505,-7.0793,0.5979,0.3095,1370.8957
2007-01-09,0.0584,-7.0559,0.5982,0.3106,1370.9000
2007-01-10,0.0544,-7.0194,0.5985,0.3116,1370.9041
2007-01-11,0.0483,-6.9532,0.5989,0.3127,1370.9083
2007-01-12,0.0529,-6.8630,0.5992,0.3138,1370.9122
2007-01-13,0.0553,-6.7988,0.5995,0.3148,1370.9163
2007-01-14,0.0470,-6.8653,0.5998,0.3159,1370.9202
2007-01-15,0.0441,-6.9936,0.6001,0.3169,1370.9239
2007-01-16,0.0440,-7.0469,0.6004,0.3179,1370.9278
2007-01-17,0.0457,-6.9149,0.6007,0.3190,1370.9315
2007-01-18,0.0454,-6.7388,0.6010,0.3200,1370.9352
2007-01-19,0.0461,-6.5530,0.6012,0.3210,1370.9387
2007-01-20,0.0505,-6.3589,0.6015,0.3220,1370.9423
2007-01-21,0.0493,-6.2709,0.6018,0.3230,1370.9457
2007-01-22,0.0496,-6.1756,0.6020,0.3240,1370.9490
2007-01-23,0.0402,-6.0302,0.6023,0.3250,1370.9525
2007-01-24,0.0284,-5.8462,0.6026,0.3260,1370.9557
2007-01-25,0.0203,-5.7888,0.6028,0.3270,1370.9591
2007-01-26,0.0150,-5.8148,0.6030,0.3280,1370.9622
2007-01-27,0.0126,-5.9123,0.6033,0.3290,1370.9655
2007-01-28,0.0082,-5.9599,0.6035,0.3299,1370.9686
2007-01-29,-0.0001,-6.0763,0.6038,0.3309,1370.9717
2007-01-30,-0.0042,-6.1750,0.6040,0.3319,1370.9750
2007-01-31,-0.0038,-6.1941,0.6043,0.3328,1370.9780
2007-02-01,-0.0046,-6.3171,0.6045,0.3338,1370.9812
2007-02-02,-0.0069,-6.4226,0.6048,0.3347,1370.9843
2007-02-03,-0.0157,-6.3935,0.6050,0.3356,1370.9875
2007-02-04,-0.0161,-6.4308,0.6052,0.3365,1370.9906
2007-02-05,-0.0223,-6.3902,0.6055,0.3375,1370.9936
2007-02-06,-0.0299,-6.2272,0.6058,0.3384,1370.9969
2007-02-07,-0.0393,-6.0751,0.6060,0.3393,1371.0000
2007-02-08,-0.0493,-5.9161,0.6063,0.3402,1371.0033
2007-02-09,-0.0603,-5.9034,0.6065,0.3411,1371.0065
2007-02-10,-0.0640,-5.8593,0.6068,0.3420,1371.0098
2007-02-11,-0.0703,-5.7479,0.6071,0.3428,1371.0130
2007-02-12,-0.0736,-5.4662,0.6074,0.3437,1371.0163
2007-02-13,-0.0768,-5.1088,0.6077,0.3446,1371.0198
2007-02-14,-0.0816,-4.7600,0.6080,0.3454,1371.0232
2007-02-15,-0.0832,-4.3666,0.6083,0.3463,1371.0268
