date,dv,temp,sm_ewt,lp_lake,lake
2007-12-15,0.0291,-4.4359,0.3824,0.1652,1370.3731
2007-12-16,0.0623,-4.5024,0.3836,0.1661,1370.3763
2007-12-17,0.1084,-4.7418,0.3849,0.1669,1370.3794
2007-12-18,0.1452,-5.1128,0.3860,0.1678,1370.3828
2007-12-19,0.1775,-5.4618,0.3872,0.1686,1370.3862
2007-12-20,0.2115,-5.7673,0.3884,0.1695,1370.3897
2007-12-21,0.2430,-6.0045,0.3896,0.1703,1370.3933
2007-12-22,0.2561,-6.0163,0.3908,0.1712,1370.3969
2007-12-23,0.2816,-6.0757,0.3920,0.1721,1370.4007
2007-12-24,0.3059,-6.1685,0.3932,0.1729,1370.4045
2007-12-25,0.3317,-6.2518,0.3944,0.1738,1370.4085
2007-12-26,0.3566,-6.3194,0.3956,0.1746,1370.4124
2007-12-27,0.3824,-6.4120,0.3968,0.1755,1370.4166
2007-12-28,0.4067,-6.4409,0.3980,0.1763,1370.4206
2007-12-29,0.4302,-6.4393,0.3992,0.1772,1370.4247
2007-12-30,0.4537,-6.4272,0.4004,0.1780,1370.4291
2007-12-31,0.4748,-6.5435,0.4016,0.1789,1370.4333
2008-01-01,0.4951,-6.7028,0.4027,0.1797,1370.4378
2008-01-02,0.5145,-6.7774,0.4039,0.1806,1370.4421
2008-01-03,0.5361,-6.8223,0.4051,0.1814,1370.4466
2008-01-04,0.5567,-6.9850,0.4063,0.1822,1370.4510
2008-01-05,0.5762,-7.1390,0.4075,0.1831,1370.4554
2008-01-06,0.5942,-7.3310,0.4086,0.1839,1370.4601
2008-01-07,0.6079,-7.5232,0.4098,0.1848,1370.4645
2008-01-08,0.6174,-7.6577,0.4110,0.1856,1370.4692
2008-01-09,0.6206,-7.6640,0.4121,0.1865,1370.4737
2008-01-10,0.6170,-7.6317,0.4133,0.1873,1370.4785
2008-01-11,0.6151,-7.5276,0.4145,0.1881,1370.4830
2008-01-12,0.6071,-7.3564,0.4157,0.1890,1370.4875
2008-01-13,0.5961,-7.2254,0.4168,0.1898,1370.4923
2008-01-14,0.5866,-7.1143,0.4180,0.1906,1370.4968
2008-01-15,0.5724,-6.9691,0.4191,0.1915,1370.5016
2008-01-16,0.5739,-6.9363,0.4202,0.1923,1370.5061
2008-01-17,0.5933,-6.9835,0.4213,0.1931,1370.5108
2008-01-18,0.6223,-7.0399,0.4224,0.1940,1370.5153
2008-01-19,0.6688,-7.0937,0.4235,0.1948,1370.5198
2008-01-20,0.7116,-7.1417,0.4245,0.1956,1370.5244
2008-01-21,0.7050,-7.1054,0.4256,0.1965,1370.5289
2008-01-22,0.6924,-6.9456,0.4265,0.1973,1370.5335
2008-01-23,0.6816,-6.7862,0.4275,0.1981,1370.5379
2008-01-24,0.6698,-6.7215,0.4285,0.1989,1370.5425
2008-01-25,0.6580,-6.6868,0.4295,0.1998,1370.5469
2008-01-26,0.6457,-6.4912,0.4305,0.2006,1370.5512
2008-01-27,0.6323,-6.3162,0.4315,0.2014,1370.5558
2008-01-28,0.6191,-6.1131,0.4325,0.2022,1370.5601
2008-01-29,0.6047,-5.8881,0.4335,0.2030,1370.5646
