date,dv,temp,sm_ewt,lp_lake,lake
2017-09-01,0.4721,23.1479,0.4028,-0.0539,1370.0458
2017-09-02,0.4666,22.9575,0.4023,-0.0545,1370.0410
2017-09-03,0.4645,22.6996,0.4018,-0.0550,1370.0358
2017-09-04,0.4663,22.5118,0.4013,-0.0555,1370.0309
2017-09-05,0.4671,22.4060,0.4007,-0.0561,1370.0259
2017-09-06,0.4628,22.2983,0.4002,-0.0566,1370.0206
2017-09-07,0.4563,22.1416,0.3997,-0.0572,1370.0154
2017-09-08,0.4568,22.0089,0.3992,-0.0577,1370.0099
2017-09-09,0.4491,21.8230,0.3987,-0.0583,1370.0045
2017-09-10,0.4443,21.5289,0.3981,-0.0588,1369.9987
2017-09-11,0.4457,21.2990,0.3977,-0.0594,1369.9931
2017-09-12,0.4411,21.1367,0.3972,-0.0600,1369.9874
2017-09-13,0.4338,21.0073,0.3967,-0.0605,1369.9812
2017-09-14,0.4340,20.8618,0.3962,-0.0611,1369.9752
2017-09-15,0.4247,20.6205,0.3958,-0.0617,1369.9687
2017-09-16,0.4189,20.4484,0.3953,-0.0623,1369.9623
2017-09-17,0.4142,20.3122,0.3949,-0.0629,1369.9555
2017-09-18,0.4117,20.1853,0.3944,-0.0634,1369.9488
2017-09-19,0.4143,20.0341,0.3939,-0.0640,1369.9419
2017-09-20,0.4179,19.8956,0.3934,-0.0646,1369.9346
2017-09-21,0.4167,19.6956,0.3929,-0.0652,1369.9276
2017-09-22,0.4083,19.4680,0.3924,-0.0658,1369.9201
2017-09-23,0.4111,19.3113,0.3919,-0.0664,1369.9130
2017-09-24,0.4100,19.1820,0.3913,-0.0670,1369.9055
2017-09-25,0.4046,19.0563,0.3908,-0.0676,1369.8983
2017-09-26,0.4136,18.9026,0.3902,-0.0682,1369.8911
2017-09-27,0.4156,18.6998,0.3897,-0.0689,1369.8837
2017-09-28,0.4203,18.4721,0.3892,-0.0695,1369.8767
2017-09-29,0.4128,18.2708,0.3886,-0.0701,1369.8695
2017-09-30,0.4080,18.0568,0.3881,-0.0707,1369.8627
2017-10-01,0.3974,17.8553,0.3876,-0.0713,1369.8558
2017-10-02,0.3979,17.6675,0.3870,-0.0720,1369.8494
2017-10-03,0.4011,17.4545,0.3865,-0.0726,1369.8431
2017-10-04,0.3987,17.2267,0.3860,-0.0732,1369.8369
2017-10-05,0.3937,17.0045,0.3855,-0.0739,1369.8311
2017-10-06,0.3886,16.7711,0.3850,-0.0745,1369.8254
2017-10-07,0.3816,16.5235,0.3845,-0.0752,1369.8202
2017-10-08,0.3711,16.2956,0.3840,-0.0758,1369.8152
2017-10-09,0.3748,16.0373,0.3835,-0.0765,1369.8107
2017-10-10,0.3790,15.8578,0.3830,-0.0771,1369.8066
2017-10-11,0.3797,15.7451,0.3826,-0.0778,1369.8027
2017-10-12,0.3727,15.5902,0.3822,-0.0784,1369.7994
2017-10-13,0.3687,15.3689,0.3818,-0.0791,1369.7964
2017-10-14,0.3577,15.1284,0.3814,-0.0798,1369.7941
2017-10-15,0.3578,14.9593,0.3810,-0.0804,1369.7921
2017-10-16,0.3617,14.8644,0.3806,-0.0811,1369.7908
2017-10-17,0.3639,14.7424,0.3803,-0.0818,1369.7900
2017-10-18,0.3675,14.6613,0.3799,-0.0825,1369.7898
