date,dv,temp,sm_ewt,lp_lake,lake
2016-07-30,1.0070,20.5904,0.3531,-0.4102,1369.5783
2016-07-31,1.0030,20.5586,0.3525,-0.4115,1369.5671
2016-08-01,1.0000,20.5728,0.3519,-0.4128,1369.5563
2016-08-02,1.0000,20.6602,0.3513,-0.4141,1369.5453
2016-08-03,1.0038,20.7216,0.3507,-0.4153,1369.5337
2016-08-04,1.0040,20.7318,0.3502,-0.4166,1369.5225
2016-08-05,0.9996,20.7074,0.3497,-0.4178,1369.5108
2016-08-06,1.0024,20.6445,0.3492,-0.4190,1369.4995
2016-08-07,0.9975,20.5808,0.3487,-0.4202,1369.4877
2016-08-08,0.9942,20.5133,0.3484,-0.4215,1369.4764
2016-08-09,0.9892,20.4459,0.3480,-0.4227,1369.4652
2016-08-10,0.9858,20.3876,0.3477,-0.4238,1369.4535
2016-08-11,0.9831,20.3493,0.3474,-0.4250,1369.4424
2016-08-12,0.9826,20.3750,0.3473,-0.4262,1369.4310
2016-08-13,0.9857,20.3611,0.3471,-0.4273,1369.4201
2016-08-14,0.9844,20.3026,0.3470,-0.4285,1369.4090
2016-08-15,0.9862,20.1774,0.3470,-0.4296,1369.3985
2016-08-16,0.9791,20.0001,0.3470,-0.4307,1369.3882
2016-08-17,0.9749,19.8243,0.3470,-0.4319,1369.3777
2016-08-18,0.9781,19.6657,0.3471,-0.4330,1369.3680
2016-08-19,0.9811,19.6150,0.3471,-0.4340,1369.3580
2016-08-20,1.0015,19.5675,0.3471,-0.4351,1369.3488
2016-08-21,1.0012,19.5340,0.3472,-0.4362,1369.3394
2016-08-22,1.0095,19.4555,0.3473,-0.4373,1369.3307
2016-08-23,1.0145,19.3015,0.3473,-0.4383,1369.3222
2016-08-24,1.0081,19.0812,0.3474,-0.4393,1369.3136
2016-08-25,1.0074,18.8171,0.3475,-0.4404,1369.3056
2016-08-26,0.9997,18.5749,0.3476,-0.4414,1369.2976
2016-08-27,1.0232,18.3663,0.3477,-0.4424,1369.2901
2016-08-28,1.0167,18.1901,0.3479,-0.4434,1369.2826
2016-08-29,1.0085,18.0226,0.3480,-0.4443,1369.2756
2016-08-30,0.9958,17.8760,0.3481,-0.4453,1369.2689
2016-08-31,0.9881,17.7069,0.3483,-0.4463,1369.2621
2016-09-01,0.9752,17.5612,0.3484,-0.4472,1369.2559
