date,dv,temp,sm_ewt,lp_lake,lake
2007-01-06,-0.3348,-4.3660,0.3683,0.3088,1370.8874
2007-01-07,-0.3329,-4.2955,0.3690,0.3099,1370.8916
2007-01-08,-0.3356,-4.2089,0.3697,0.3110,1370.8957
2007-01-09,-0.3461,-4.1581,0.3703,0.3120,1370.9000
2007-01-10,-0.3568,-4.1198,0.3710,0.3131,1370.9041
2007-01-11,-0.3612,-4.0432,0.3716,0.3142,1370.9083
2007-01-12,-0.3586,-3.9039,0.3723,0.3152,1370.9122
2007-01-13,-0.3585,-3.8481,0.3730,0.3163,1370.9163
2007-01-14,-0.3565,-3.8847,0.3736,0.3173,1370.9202
2007-01-15,-0.3624,-4.0029,0.3742,0.3184,1370.9239
2007-01-16,-0.3672,-4.0828,0.3748,0.3194,1370.9278
2007-01-17,-0.3732,-4.0109,0.3754,0.3204,1370.9315
2007-01-18,-0.3768,-3.8750,0.3760,0.3215,1370.9352
2007-01-19,-0.3836,-3.7256,0.3766,0.3225,1370.9387
2007-01-20,-0.3873,-3.5217,0.3772,0.3235,1370.9423
2007-01-21,-0.3877,-3.4516,0.3778,0.3245,1370.9457
2007-01-22,-0.3813,-3.3899,0.3783,0.3255,1370.9490
2007-01-23,-0.3916,-3.2293,0.3789,0.3265,1370.9525
2007-01-24,-0.3985,-3.0535,0.3795,0.3275,1370.9557
2007-01-25,-0.3983,-3.0452,0.3800,0.3285,1370.9591
2007-01-26,-0.3934,-3.1360,0.3806,0.3295,1370.9622
2007-01-27,-0.3915,-3.2612,0.3811,0.3304,1370.9655
2007-01-28,-0.3963,-3.3058,0.3817,0.3314,1370.9686
2007-01-29,-0.3896,-3.3274,0.3823,0.3324,1370.9717
2007-01-30,-0.3934,-3.3675,0.3828,0.3333,1370.9750
2007-01-31,-0.4033,-3.4094,0.3834,0.3343,1370.9780
2007-02-01,-0.4036,-3.5232,0.3839,0.3352,1370.9812
2007-02-02,-0.3959,-3.5723,0.3845,0.3361,1370.9843
2007-02-03,-0.3969,-3.5499,0.3851,0.3371,1370.9875
2007-02-04,-0.3953,-3.5071,0.3857,0.3380,1370.9906
2007-02-05,-0.4013,-3.4091,0.3863,0.3389,1370.9936
2007-02-06,-0.4030,-3.1414,0.3868,0.3398,1370.9969
2007-02-07,-0.4096,-2.9301,0.3874,0.3407,1371.0000
2007-02-08,-0.4114,-2.7134,0.3880,0.3416,1371.0033
