date,dv,temp,sm_ewt,lp_lake,lake
2011-04-04,0.0425,-0.7182,0.5824,0.6290,1371.0887
2011-04-05,0.1369,-0.5770,0.5848,0.6322,1371.0885
2011-04-06,0.1401,-0.4450,0.5871,0.6353,1371.0883
2011-04-07,0.1611,-0.2565,0.5894,0.6385,1371.0881
2011-04-08,0.1660,-0.0100,0.5915,0.6416,1371.0879
2011-04-09,0.1789,0.2112,0.5936,0.6448,1371.0877
2011-04-10,0.0810,0.2306,0.5954,0.6479,1371.0876
2011-04-11,0.0274,0.1895,0.5972,0.6510,1371.0875
2011-04-12,-0.0251,0.1337,0.5987,0.6541,1371.0875
2011-04-13,-0.0516,0.1678,0.6001,0.6573,1371.0876
2011-04-14,0.0099,0.2878,0.6013,0.6604,1371.0878
2011-04-15,-0.0420,0.3895,0.6023,0.6635,1371.0881
2011-04-16,-0.0266,0.4474,0.6031,0.6666,1371.0886
2011-04-17,-0.0311,0.4242,0.6037,0.6697,1371.0893
2011-04-18,-0.0214,0.5245,0.6044,0.6728,1371.0901
2011-04-19,0.1264,0.5553,0.6050,0.6759,1371.0911
2011-04-20,0.1897,0.5635,0.6056,0.6789,1371.0924
2011-04-21,0.2542,0.6173,0.6062,0.6820,1371.0939
2011-04-22,0.2600,0.7640,0.6068,0.6850,1371.0955
2011-04-23,0.2568,0.9807,0.6074,0.6881,1371.0974
2011-04-24,0.2687,1.1502,0.6080,0.6911,1371.0996
2011-04-25,0.2962,1.2504,0.6085,0.6942,1371.1020
2011-04-26,0.2993,1.4543,0.6091,0.6972,1371.1048
2011-04-27,0.2923,1.6737,0.6096,0.7002,1371.1077
2011-04-28,0.2964,1.8249,0.6101,0.7032,1371.1110
2011-04-29,0.2939,2.0300,0.6106,0.7062,1371.1145
2011-04-30,0.3000,2.1123,0.6110,0.7092,1371.1182
2011-05-01,0.3115,2.1192,0.6115,0.7122,1371.1224
2011-05-02,0.3127,2.1571,0.6119,0.7152,1371.1268
2011-05-03,0.3031,2.2019,0.6123,0.7182,1371.1317
2011-05-04,0.3240,2.1546,0.6126,0.7211,1371.1367
2011-05-05,0.3430,2.3110,0.6130,0.7241,1371.1423
2011-05-06,0.3519,2.5325,0.6133,0.7270,1371.1479
2011-05-07,0.3517,2.6627,0.6136,0.7300,1371.1539
2011-05-08,0.3518,2.8167,0.6139,0.7329,1371.1606
2011-05-09,0.3429,2.9706,0.6141,0.7358,1371.1674
2011-05-10,0.3297,3.1749,0.6143,0.7387,1371.1748
2011-05-11,0.3353,3.3781,0.6145,0.7416,1371.1823
2011-05-12,0.3446,3.6252,0.6147,0.7445,1371.1906
2011-05-13,0.3485,3.8355,0.6148,0.7474,1371.1989
2011-05-14,0.3488,3.9603,0.6149,0.7502,1371.2076
2011-05-15,0.3384,4.1079,0.6150,0.7531,1371.2171
2011-05-16,0.3323,4.3482,0.6150,0.7559,1371.2267
2011-05-17,0.3311,4.5744,0.6150,0.7588,1371.2371
2011-05-18,0.3366,4.6603,0.6149,0.7616,1371.2476
2011-05-19,0.3485,4.6649,0.6147,0.7644,1371.2589
2011-05-20,0.3514,4.7656,0.6144,0.7672,1371.2703
2011-05-21,0.3589,4.8066,0.6141,0.7700,1371.2819
2011-05-22,0.3510,4.8474,0.6136,0.7728,1371.2945
2011-05-23,0.3543,5.0003,0.6131,0.7756,1371.3069
2011-05-24,0.3397,5.2296,0.6126,0.7783,1371.3202
2011-05-25,0.3375,5.4718,0.6120,0.7811,1371.3331
2011-05-26,0.3440,5.7259,0.6113,0.7838,1371.3468
2011-05-27,0.3439,5.9581,0.6106,0.7865,1371.3601
2011-05-28,0.3426,6.2687,0.6098,0.7892,1371.3736
2011-05-29,0.3289,6.5361,0.6090,0.7919,1371.3878
2011-05-30,0.3335,6.7638,0.6081,0.7946,1371.4014
2011-05-31,0.3345,7.0910,0.6072,0.7973,1371.4157
2011-06-01,0.3289,7.3706,0.6063,0.8000,1371.4295
