date,dv,temp,sm_ewt,lp_lake,lake
2007-12-01,0.2593,1.3460,0.3303,0.1651,1370.3379
2007-12-02,0.2579,1.0819,0.3317,0.1660,1370.3400
2007-12-03,0.2534,0.8176,0.3332,0.1669,1370.3422
2007-12-04,0.2522,0.6594,0.3346,0.1679,1370.3445
2007-12-05,0.2493,0.5572,0.3360,0.1688,1370.3467
2007-12-06,0.2457,0.5019,0.3376,0.1697,1370.3491
2007-12-07,0.2390,0.3624,0.3390,0.1706,1370.3514
2007-12-08,0.2390,0.1535,0.3405,0.1716,1370.3538
2007-12-09,0.2323,-0.0997,0.3420,0.1725,1370.3564
2007-12-10,0.2326,-0.3283,0.3435,0.1734,1370.3590
2007-12-11,0.2249,-0.5845,0.3449,0.1743,1370.3617
2007-12-12,0.2266,-0.8432,0.3463,0.1753,1370.3644
2007-12-13,0.2184,-0.9560,0.3477,0.1762,1370.3673
2007-12-14,0.2145,-1.0435,0.3490,0.1771,1370.3702
2007-12-15,0.2111,-1.2182,0.3504,0.1780,1370.3731
2007-12-16,0.2092,-1.3021,0.3517,0.1789,1370.3763
2007-12-17,0.2042,-1.4854,0.3530,0.1799,1370.3794
2007-12-18,0.2008,-1.8187,0.3543,0.1808,1370.3828
2007-12-19,0.2052,-2.1750,0.3557,0.1817,1370.3862
2007-12-20,0.2001,-2.4713,0.3571,0.1826,1370.3897
2007-12-21,0.1921,-2.7086,0.3585,0.1835,1370.3933
2007-12-22,0.1843,-2.7012,0.3599,0.1845,1370.3969
2007-12-23,0.1794,-2.7778,0.3613,0.1854,1370.4007
2007-12-24,0.1804,-2.8715,0.3628,0.1863,1370.4045
2007-12-25,0.1781,-2.9775,0.3642,0.1872,1370.4085
2007-12-26,0.1737,-3.0597,0.3657,0.1881,1370.4124
2007-12-27,0.1731,-3.1444,0.3671,0.1890,1370.4166
2007-12-28,0.1631,-3.1579,0.3686,0.1900,1370.4206
2007-12-29,0.1593,-3.1333,0.3701,0.1909,1370.4247
2007-12-30,0.1529,-3.1296,0.3715,0.1918,1370.4291
2007-12-31,0.1448,-3.2670,0.3730,0.1927,1370.4333
2008-01-01,0.1456,-3.4134,0.3744,0.1936,1370.4378
2008-01-02,0.1363,-3.4407,0.3759,0.1945,1370.4421
2008-01-03,0.1332,-3.4435,0.3773,0.1954,1370.4466
2008-01-04,0.1266,-3.5633,0.3787,0.1963,1370.4510
2008-01-05,0.1229,-3.6544,0.3802,0.1972,1370.4554
2008-01-06,0.1194,-3.8149,0.3816,0.1981,1370.4601
2008-01-07,0.1172,-3.9952,0.3830,0.1991,1370.4645
2008-01-08,0.1162,-4.1189,0.3843,0.2000,1370.4692
2008-01-09,0.1155,-4.1260,0.3856,0.2009,1370.4737
2008-01-10,0.1132,-4.0883,0.3870,0.2018,1370.4785
2008-01-11,0.1052,-3.9615,0.3882,0.2027,1370.4830
2008-01-12,0.1022,-3.7967,0.3895,0.2036,1370.4875
2008-01-13,0.0988,-3.6592,0.3907,0.2045,1370.4923
2008-01-14,0.0927,-3.5335,0.3920,0.2054,1370.4968
2008-01-15,0.0913,-3.3939,0.3931,0.2063,1370.5016
2008-01-16,0.0892,-3.3529,0.3942,0.2071,1370.5061
2008-01-17,0.0872,-3.3912,0.3954,0.2080,1370.5108
2008-01-18,0.0811,-3.4594,0.3965,0.2089,1370.5153
2008-01-19,0.0765,-3.5115,0.3976,0.2098,1370.5198
2008-01-20,0.0701,-3.5660,0.3987,0.2107,1370.5244
2008-01-21,0.0684,-3.5580,0.3998,0.2116,1370.5289
2008-01-22,0.0700,-3.4201,0.4008,0.2125,1370.5335
2008-01-23,0.0679,-3.2616,0.4018,0.2134,1370.5379
2008-01-24,0.0649,-3.1778,0.4029,0.2143,1370.5425
2008-01-25,0.0617,-3.1367,0.4039,0.2151,1370.5469
2008-01-26,0.0571,-2.9382,0.4050,0.2160,1370.5512
2008-01-27,0.0558,-2.7715,0.4059,0.2169,1370.5558
2008-01-28,0.0508,-2.5694,0.4070,0.2178,1370.5601
2008-01-29,0.0506,-2.3626,0.4079,0.2187,1370.5646
2008-01-30,0.0450,-2.2225,0.4089,0.2195,1370.5688
2008-01-31,0.0361,-2.0795,0.4099,0.2204,1370.5733
2008-02-01,0.0308,-1.8483,0.4108,0.2213,1370.5775
2008-02-02,0.0258,-1.7624,0.4118,0.2221,1370.5817
2008-02-03,-0.0440,-1.7408,0.4127,0.2230,1370.5861
2008-02-04,-0.0506,-1.7770,0.4137,0.2239,1370.5903
2008-02-05,-0.1199,-1.9090,0.4146,0.2248,1370.5946
2008-02-06,-0.1265,-1.9616,0.4155,0.2256,1370.5987
2008-02-07,-0.1331,-1.8902,0.4164,0.2265,1370.6030
2008-02-08,-0.1396,-1.7645,0.4173,0.2273,1370.6071
2008-02-09,-0.1445,-1.6680,0.4183,0.2282,1370.6111
2008-02-10,-0.1448,-1.5301,0.4191,0.2291,1370.6153
2008-02-11,-0.1448,-1.3552,0.4201,0.2299,1370.6193
2008-02-12,-0.1446,-1.2598,0.4209,0.2308,1370.6235
2008-02-13,-0.1480,-1.1742,0.4218,0.2316,1370.6274
2008-02-14,-0.1516,-1.1146,0.4227,0.2325,1370.6315
2008-02-15,-0.1569,-1.0617,0.4236,0.2333,1370.6354
2008-02-16,-0.1606,-0.9794,0.4245,0.2342,1370.6393
2008-02-17,-0.1656,-0.7723,0.4254,0.2350,1370.6433
2008-02-18,-0.1692,-0.5169,0.4264,0.2359,1370.6471
2008-02-19,-0.1729,-0.2761,0.4274,0.2367,1370.6511
2008-02-20,-0.1736,-0.1314,0.4283,0.2375,1370.6549
2008-02-21,-0.1841,-0.0924,0.4294,0.2384,1370.6588
2008-02-22,-0.1874,0.0498,0.4304,0.2392,1370.6626
2008-02-23,-0.1900,0.2546,0.4314,0.2400,1370.6663
2008-02-24,-0.1957,0.5415,0.4324,0.2409,1370.6702
2008-02-25,-0.1963,0.7993,0.4334,0.2417,1370.6739
2008-02-26,-0.2039,0.9600,0.4344,0.2425,1370.6778
2008-02-27,-0.2055,0.9353,0.4354,0.2434,1370.6816
2008-02-28,-0.2154,0.9279,0.4364,0.2442,1370.6855
2008-02-29,-0.2202,1.0225,0.4373,0.2450,1370.6892
2008-03-01,-0.2262,1.1372,0.4383,0.2458,1370.6929
2008-03-02,-0.2335,1.1906,0.4392,0.2466,1370.6969
2008-03-03,-0.2390,1.2575,0.4401,0.2475,1370.7007
2008-03-04,-0.2465,1.3814,0.4409,0.2483,1370.7046
2008-03-05,-0.2508,1.4861,0.4417,0.2491,1370.7084
2008-03-06,-0.2573,1.5817,0.4425,0.2499,1370.7124
2008-03-07,-0.2654,1.7324,0.4432,0.2507,1370.7163
2008-03-08,-0.2697,1.9428,0.4439,0.2515,1370.7202
2008-03-09,-0.2745,2.0704,0.4445,0.2523,1370.7243
2008-03-10,-0.2809,2.1396,0.4451,0.2531,1370.7283
2008-03-11,-0.2840,2.1817,0.4456,0.2539,1370.7325
2008-03-12,-0.2903,2.1570,0.4460,0.2547,1370.7365
2008-03-13,-0.2967,2.1212,0.4464,0.2555,1370.7408
2008-03-14,-0.3063,2.1742,0.4467,0.2563,1370.7449
2008-03-15,-0.3093,2.2878,0.4469,0.2571,1370.7491
2008-03-16,-0.3177,2.5097,0.4470,0.2579,1370.7535
2008-03-17,-0.3223,2.6747,0.4471,0.2587,1370.7578
2008-03-18,-0.3247,2.7449,0.4473,0.2594,1370.7624
2008-03-19,-0.3296,2.8394,0.4474,0.2602,1370.7668
2008-03-20,-0.3335,3.0486,0.4475,0.2610,1370.7715
2008-03-21,-0.3338,3.2880,0.4476,0.2618,1370.7760
