date,dv,temp,sm_ewt,lp_lake,lake
2015-09-28,-0.1117,11.5190,0.3424,-0.2132,1369.5063
2015-09-29,-0.1084,11.2854,0.3426,-0.2146,1369.5015
2015-09-30,-0.1072,11.0149,0.3428,-0.2161,1369.4966
2015-10-01,-0.1082,10.8106,0.3430,-0.2175,1369.4920
2015-10-02,-0.1116,10.6406,0.3433,-0.2189,1369.4872
2015-10-03,-0.1113,10.4903,0.3435,-0.2204,1369.4827
2015-10-04,-0.1189,10.3286,0.3437,-0.2218,1369.4781
2015-10-05,-0.1277,10.1098,0.3440,-0.2233,1369.4737
2015-10-06,-0.1288,9.8570,0.3443,-0.2247,1369.4695
2015-10-07,-0.1302,9.5910,0.3445,-0.2262,1369.4652
2015-10-08,-0.1311,9.3224,0.3448,-0.2276,1369.4611
2015-10-09,-0.1323,9.0697,0.3451,-0.2291,1369.4571
2015-10-10,-0.1339,8.8274,0.3454,-0.2305,1369.4533
2015-10-11,-0.1358,8.6016,0.3457,-0.2320,1369.4496
2015-10-12,-0.1344,8.3043,0.3460,-0.2335,1369.4461
2015-10-13,-0.1325,7.9557,0.3463,-0.2349,1369.4428
2015-10-14,-0.1326,7.6098,0.3466,-0.2364,1369.4396
2015-10-15,-0.1272,7.3235,0.3469,-0.2378,1369.4367
2015-10-16,-0.1263,7.1001,0.3472,-0.2393,1369.4338
2015-10-17,-0.1262,6.9217,0.3475,-0.2408,1369.4313
2015-10-18,-0.1274,6.7025,0.3480,-0.2423,1369.4289
2015-10-19,-0.1292,6.4767,0.3484,-0.2437,1369.4268
2015-10-20,-0.1245,6.2987,0.3490,-0.2452,1369.4249
2015-10-21,-0.1264,6.1188,0.3496,-0.2467,1369.4232
2015-10-22,-0.1243,5.8668,0.3502,-0.2482,1369.4217
2015-10-23,-0.1221,5.5665,0.3509,-0.2496,1369.4203
2015-10-24,-0.1271,5.3361,0.3516,-0.2511,1369.4192
2015-10-25,-0.1290,5.0915,0.3523,-0.2526,1369.4182
2015-10-26,-0.1290,4.8073,0.3531,-0.2541,1369.4175
2015-10-27,-0.1307,4.5208,0.3539,-0.2556,1369.4169
2015-10-28,-0.1288,4.1204,0.3546,-0.2571,1369.4164
2015-10-29,-0.1324,3.6952,0.3555,-0.2586,1369.4161
2015-10-30,-0.1307,3.2625,0.3562,-0.2600,1369.4159
2015-10-31,-0.1354,2.8335,0.3570,-0.2615,1369.4159
2015-11-01,-0.1423,2.4061,0.3579,-0.2630,1369.4160
2015-11-02,-0.1456,2.0347,0.3586,-0.2645,1369.4163
2015-11-03,-0.1472,1.8409,0.3594,-0.2660,1369.4166
2015-11-04,-0.1491,1.6906,0.3602,-0.2675,1369.4171
2015-11-05,-0.1504,1.4803,0.3609,-0.2690,1369.4176
2015-11-06,-0.1502,1.3116,0.3616,-0.2705,1369.4183
2015-11-07,-0.1506,1.1303,0.3623,-0.2720,1369.4191
2015-11-08,-0.1541,0.9531,0.3630,-0.2735,1369.4199
2015-11-09,-0.1575,0.8136,0.3636,-0.2750,1369.4209
2015-11-10,-0.1577,0.6544,0.3641,-0.2765,1369.4218
2015-11-11,-0.1579,0.4471,0.3646,-0.2780,1369.4229
2015-11-12,-0.1575,0.1880,0.3651,-0.2795,1369.4240
2015-11-13,-0.1521,-0.1180,0.3654,-0.2810,1369.4252
2015-11-14,-0.1585,-0.4131,0.3658,-0.2825,1369.4264
2015-11-15,-0.1562,-0.7329,0.3660,-0.2840,1369.4277
2015-11-16,-0.1596,-1.1000,0.3662,-0.2855,1369.4289
2015-11-17,-0.1565,-1.4743,0.3664,-0.2870,1369.4302
2015-11-18,-0.1566,-1.7888,0.3666,-0.2885,1369.4315
2015-11-19,-0.1548,-1.9968,0.3668,-0.2901,1369.4328
2015-11-20,-0.1494,-2.1648,0.3670,-0.2916,1369.4342
2015-11-21,-0.1524,-2.3150,0.3671,-0.2931,1369.4356
2015-11-22,-0.1554,-2.4790,0.3673,-0.2946,1369.4370
2015-11-23,-0.1551,-2.6429,0.3674,-0.2961,1369.4384
2015-11-24,-0.1520,-2.8963,0.3676,-0.2976,1369.4398
2015-11-25,-0.1540,-3.1877,0.3677,-0.2991,1369.4413
2015-11-26,-0.1537,-3.4610,0.3678,-0.3006,1369.4427
2015-11-27,-0.1570,-3.7806,0.3680,-0.3021,1369.4442
2015-11-28,-0.1566,-4.0146,0.3681,-0.3036,1369.4457
2015-11-29,-0.1596,-4.2525,0.3682,-0.3052,1369.4473
2015-11-30,-0.1610,-4.4429,0.3683,-0.3067,1369.4488
2015-12-01,-0.1644,-4.6899,0.3684,-0.3082,1369.4504
2015-12-02,-0.1641,-4.9954,0.3685,-0.3097,1369.4521
2015-12-03,-0.1637,-5.2781,0.3686,-0.3112,1369.4537
2015-12-04,-0.1598,-5.4842,0.3687,-0.3127,1369.4554
2015-12-05,-0.1581,-5.6024,0.3688,-0.3142,1369.4570
2015-12-06,-0.1564,-5.6230,0.3689,-0.3157,1369.4588
2015-12-07,-0.1581,-5.6303,0.3690,-0.3172,1369.4605
2015-12-08,-0.1581,-5.6184,0.3691,-0.3188,1369.4623
2015-12-09,-0.1582,-5.6855,0.3693,-0.3203,1369.4641
2015-12-10,-0.1563,-5.7846,0.3694,-0.3218,1369.4659
2015-12-11,-0.1541,-5.9289,0.3695,-0.3233,1369.4678
2015-12-12,-0.1554,-6.0553,0.3696,-0.3248,1369.4697
2015-12-13,-0.1571,-6.1109,0.3697,-0.3263,1369.4717
2015-12-14,-0.1585,-6.1275,0.3698,-0.3278,1369.4736
2015-12-15,-0.1637,-6.1963,0.3700,-0.3293,1369.4755
2015-12-16,-0.1637,-6.3065,0.3701,-0.3308,1369.4776
2015-12-17,-0.1635,-6.3931,0.3702,-0.3323,1369.4796
2015-12-18,-0.1634,-6.4480,0.3704,-0.3338,1369.4818
2015-12-19,-0.1632,-6.4253,0.3705,-0.3353,1369.4839
2015-12-20,-0.1684,-6.4508,0.3706,-0.3368,1369.4861
2015-12-21,-0.1682,-6.5265,0.3708,-0.3383,1369.4882
2015-12-22,-0.1696,-6.5896,0.3709,-0.3398,1369.4904
2015-12-23,-0.1732,-6.6112,0.3710,-0.3413,1369.4927
2015-12-24,-0.1680,-6.6722,0.3712,-0.3428,1369.4950
2015-12-25,-0.1660,-6.7319,0.3713,-0.3443,1369.4974
2015-12-26,-0.1658,-6.8110,0.3714,-0.3458,1369.4997
2015-12-27,-0.1639,-6.9015,0.3716,-0.3473,1369.5022
2015-12-28,-0.1719,-6.8681,0.3717,-0.3488,1369.5046
2015-12-29,-0.1715,-6.7340,0.3719,-0.3503,1369.5070
2015-12-30,-0.1698,-6.5626,0.3720,-0.3518,1369.5095
2015-12-31,-0.1679,-6.3768,0.3721,-0.3533,1369.5120
2016-01-01,-0.1646,-6.2730,0.3723,-0.3548,1369.5147
2016-01-02,-0.1609,-6.3032,0.3724,-0.3563,1369.5172
2016-01-03,-0.1610,-6.4202,0.3725,-0.3578,1369.5199
2016-01-04,-0.1624,-6.6042,0.3727,-0.3593,1369.5226
2016-01-05,-0.1656,-6.7710,0.3728,-0.3608,1369.5252
2016-01-06,-0.1655,-6.9007,0.3729,-0.3622,1369.5280
2016-01-07,-0.1653,-6.9595,0.3731,-0.3637,1369.5308
2016-01-08,-0.1652,-6.9950,0.3732,-0.3652,1369.5336
2016-01-09,-0.1650,-7.0480,0.3733,-0.3667,1369.5364
2016-01-10,-0.1685,-7.0394,0.3734,-0.3682,1369.5394
2016-01-11,-0.1684,-6.9706,0.3736,-0.3696,1369.5423
2016-01-12,-0.1685,-6.8444,0.3737,-0.3711,1369.5452
2016-01-13,-0.1687,-6.6731,0.3738,-0.3726,1369.5482
2016-01-14,-0.1672,-6.5156,0.3739,-0.3740,1369.5512
2016-01-15,-0.1691,-6.3648,0.3740,-0.3755,1369.5543
2016-01-16,-0.1691,-6.1881,0.3741,-0.3770,1369.5573
2016-01-17,-0.1705,-5.9818,0.3743,-0.3784,1369.5606
2016-01-18,-0.1704,-5.7635,0.3744,-0.3799,1369.5637
2016-01-19,-0.1739,-5.6463,0.3745,-0.3814,1369.5668
2016-01-20,-0.1739,-5.6100,0.3746,-0.3828,1369.5701
2016-01-21,-0.1769,-5.5772,0.3748,-0.3843,1369.5733
2016-01-22,-0.1752,-5.4905,0.3749,-0.3857,1369.5766
2016-01-23,-0.1787,-5.4022,0.3750,-0.3872,1369.5799
2016-01-24,-0.1803,-5.2715,0.3752,-0.3886,1369.5833
2016-01-25,-0.1819,-5.1649,0.3753,-0.3901,1369.5865
2016-01-26,-0.1804,-5.0371,0.3754,-0.3915,1369.5898
2016-01-27,-0.1792,-4.7883,0.3756,-0.3930,1369.5933
2016-01-28,-0.1778,-4.5726,0.3757,-0.3944,1369.5966
2016-01-29,-0.1749,-4.3267,0.3758,-0.3958,1369.6000
2016-01-30,-0.1769,-4.1099,0.3759,-0.3973,1369.6034
2016-01-31,-0.1772,-3.8799,0.3760,-0.3987,1369.6068
2016-02-01,-0.1756,-3.6148,0.3762,-0.4001,1369.6102
2016-02-02,-0.1742,-3.3859,0.3763,-0.4016,1369.6135
2016-02-03,-0.1777,-3.2054,0.3764,-0.4030,1369.6170
2016-02-04,-0.1807,-3.0505,0.3765,-0.4044,1369.6203
2016-02-05,-0.1825,-2.9085,0.3766,-0.4058,1369.6237
2016-02-06,-0.1808,-2.8301,0.3766,-0.4072,1369.6270
2016-02-07,-0.1809,-2.8001,0.3767,-0.4086,1369.6305
2016-02-08,-0.1842,-2.7097,0.3768,-0.4100,1369.6337
2016-02-09,-0.1825,-2.5873,0.3768,-0.4114,1369.6370
2016-02-10,-0.1895,-2.3917,0.3769,-0.4128,1369.6403
