date,dv,temp,sm_ewt,lp_lake,lake
2013-05-06,-0.1241,10.6256,0.4286,0.1532,1370.6572
2013-05-07,-0.1240,10.7947,0.4282,0.1537,1370.6503
2013-05-08,-0.1210,10.9852,0.4277,0.1542,1370.6439
2013-05-09,-0.1182,11.1955,0.4272,0.1547,1370.6377
2013-05-10,-0.1154,11.5321,0.4267,0.1552,1370.6315
2013-05-11,-0.1145,11.9510,0.4262,0.1557,1370.6260
2013-05-12,-0.1164,12.2243,0.4258,0.1562,1370.6205
2013-05-13,-0.1134,12.4637,0.4253,0.1567,1370.6157
2013-05-14,-0.1152,12.6980,0.4248,0.1571,1370.6113
2013-05-15,-0.1169,12.8744,0.4244,0.1576,1370.6075
2013-05-16,-0.1168,13.0572,0.4239,0.1581,1370.6042
2013-05-17,-0.1154,13.2943,0.4235,0.1586,1370.6015
2013-05-18,-0.1140,13.6420,0.4230,0.1590,1370.5995
2013-05-19,-0.1127,14.0138,0.4225,0.1595,1370.5982
2013-05-20,-0.1112,14.3587,0.4220,0.1600,1370.5975
2013-05-21,-0.1093,14.5278,0.4214,0.1604,1370.5974
2013-05-22,-0.1093,14.6749,0.4209,0.1609,1370.5979
2013-05-23,-0.1077,14.8033,0.4203,0.1614,1370.5988
2013-05-24,-0.1029,14.9793,0.4198,0.1618,1370.6002
2013-05-25,-0.1012,15.2461,0.4192,0.1623,1370.6020
2013-05-26,-0.1012,15.4283,0.4186,0.1627,1370.6043
2013-05-27,-0.0995,15.6175,0.4180,0.1631,1370.6067
2013-05-28,-0.0961,15.8273,0.4174,0.1636,1370.6096
2013-05-29,-0.0909,16.0574,0.4168,0.1640,1370.6125
2013-05-30,-0.0910,16.2569,0.4162,0.1645,1370.6156
2013-05-31,-0.0892,16.4510,0.4157,0.1649,1370.6190
2013-06-01,-0.0857,16.7488,0.4150,0.1653,1370.6223
2013-06-02,-0.0841,17.1558,0.4145,0.1658,1370.6258
2013-06-03,-0.0809,17.5152,0.4139,0.1662,1370.6291
2013-06-04,-0.0777,17.7887,0.4133,0.1666,1370.6326
2013-06-05,-0.0710,18.0253,0.4128,0.1670,1370.6358
2013-06-06,-0.0595,18.2259,0.4122,0.1674,1370.6388
2013-06-07,-0.0579,18.4668,0.4117,0.1678,1370.6418
2013-06-08,-0.0530,18.7063,0.4112,0.1683,1370.6444
2013-06-09,-0.0479,18.9597,0.4107,0.1687,1370.6469
2013-06-10,-0.0446,19.1716,0.4102,0.1691,1370.6489
2013-06-11,-0.0347,19.3687,0.4097,0.1695,1370.6506
2013-06-12,-0.0330,19.4602,0.4093,0.1699,1370.6518
2013-06-13,-0.0248,19.5078,0.4089,0.1702,1370.6526
2013-06-14,-0.0198,19.5444,0.4085,0.1706,1370.6529
2013-06-15,-0.0180,19.6063,0.4081,0.1710,1370.6526
2013-06-16,-0.0133,19.7019,0.4077,0.1714,1370.6516
2013-06-17,-0.0114,19.8158,0.4074,0.1718,1370.6501
2013-06-18,-0.0081,20.0487,0.4071,0.1722,1370.6478
2013-06-19,-0.0076,20.2983,0.4068,0.1725,1370.6449
2013-06-20,-0.0062,20.6024,0.4065,0.1729,1370.6414
2013-06-21,-0.0009,20.8729,0.4062,0.1733,1370.6371
2013-06-22,0.0025,21.0669,0.4059,0.1736,1370.6324
2013-06-23,0.0074,21.2605,0.4056,0.1740,1370.6270
2013-06-24,0.0125,21.4700,0.4053,0.1743,1370.6213
2013-06-25,0.0174,21.6289,0.4050,0.1747,1370.6149
2013-06-26,0.0191,21.7792,0.4048,0.1750,1370.6083
2013-06-27,0.0242,21.9304,0.4045,0.1754,1370.6013
2013-06-28,0.0244,22.0017,0.4043,0.1757,1370.5936
2013-06-29,0.0292,22.1875,0.4040,0.1761,1370.5860
2013-06-30,0.0344,22.3375,0.4038,0.1764,1370.5776
2013-07-01,0.0380,22.4823,0.4035,0.1767,1370.5694
2013-07-02,0.0497,22.6544,0.4033,0.1770,1370.5605
2013-07-03,0.0564,22.7593,0.4031,0.1774,1370.5519
2013-07-04,0.0662,22.7893,0.4028,0.1777,1370.5430
2013-07-05,0.0760,22.8587,0.4026,0.1780,1370.5337
2013-07-06,0.0772,22.9251,0.4024,0.1783,1370.5246
2013-07-07,0.0773,22.9909,0.4021,0.1786,1370.5151
2013-07-08,0.0801,23.0381,0.4019,0.1789,1370.5059
2013-07-09,0.0784,23.0304,0.4017,0.1792,1370.4963
2013-07-10,0.0781,23.0002,0.4014,0.1795,1370.4872
2013-07-11,0.0765,22.9319,0.4012,0.1798,1370.4781
2013-07-12,0.0766,22.9329,0.4009,0.1801,1370.4687
2013-07-13,0.0767,22.9365,0.4007,0.1804,1370.4599
2013-07-14,0.0767,22.9357,0.4004,0.1807,1370.4508
2013-07-15,0.0766,22.9752,0.4002,0.1810,1370.4423
2013-07-16,0.0750,23.0751,0.3999,0.1812,1370.4337
2013-07-17,0.0764,23.1605,0.3996,0.1815,1370.4257
2013-07-18,0.0765,23.2453,0.3993,0.1818,1370.4179
2013-07-19,0.0753,23.2968,0.3991,0.1820,1370.4102
2013-07-20,0.0752,23.3242,0.3987,0.1823,1370.4031
2013-07-21,0.0753,23.4277,0.3984,0.1825,1370.3960
2013-07-22,0.0739,23.5178,0.3981,0.1828,1370.3895
2013-07-23,0.0724,23.5807,0.3977,0.1830,1370.3829
2013-07-24,0.0708,23.6444,0.3974,0.1833,1370.3768
2013-07-25,0.0677,23.6211,0.3970,0.1835,1370.3710
2013-07-26,0.0678,23.6210,0.3967,0.1838,1370.3651
2013-07-27,0.0648,23.5928,0.3963,0.1840,1370.3597
2013-07-28,0.0598,23.4790,0.3960,0.1842,1370.3542
2013-07-29,0.0584,23.3541,0.3957,0.1845,1370.3490
2013-07-30,0.0597,23.2380,0.3953,0.1847,1370.3439
2013-07-31,0.0577,23.1489,0.3950,0.1849,1370.3390
2013-08-01,0.0547,23.0660,0.3946,0.1851,1370.3343
2013-08-02,0.0526,22.9665,0.3943,0.1853,1370.3295
2013-08-03,0.0519,22.8445,0.3940,0.1855,1370.3249
2013-08-04,0.0547,22.7386,0.3938,0.1857,1370.3203
2013-08-05,0.0531,22.6468,0.3935,0.1859,1370.3158
2013-08-06,0.0465,22.5989,0.3932,0.1861,1370.3113
2013-08-07,0.0471,22.5772,0.3930,0.1863,1370.3069
2013-08-08,0.0469,22.5809,0.3928,0.1865,1370.3026
2013-08-09,0.0479,22.4791,0.3926,0.1867,1370.2980
2013-08-10,0.0470,22.3443,0.3924,0.1869,1370.2936
2013-08-11,0.0444,22.2276,0.3923,0.1870,1370.2890
2013-08-12,0.0157,22.1230,0.3922,0.1872,1370.2845
2013-08-13,-0.0156,22.0229,0.3921,0.1874,1370.2797
2013-08-14,-0.0137,21.8970,0.3920,0.1875,1370.2751
2013-08-15,-0.0129,21.7694,0.3920,0.1877,1370.2703
2013-08-16,-0.0179,21.6419,0.3921,0.1878,1370.2652
2013-08-17,-0.0141,21.5270,0.3923,0.1880,1370.2602
2013-08-18,-0.0177,21.4525,0.3927,0.1881,1370.2549
2013-08-19,-0.0168,21.3377,0.3933,0.1883,1370.2496
2013-08-20,-0.0156,21.1461,0.3940,0.1884,1370.2439
2013-08-21,-0.0167,20.9312,0.3948,0.1885,1370.2383
2013-08-22,-0.0159,20.7777,0.3958,0.1887,1370.2326
2013-08-23,-0.0231,20.6567,0.3968,0.1888,1370.2265
2013-08-24,-0.0225,20.4491,0.3979,0.1889,1370.2205
2013-08-25,-0.0302,20.2839,0.3991,0.1890,1370.2142
2013-08-26,-0.0283,20.1400,0.4004,0.1892,1370.2080
2013-08-27,-0.0282,19.9141,0.4018,0.1893,1370.2013
2013-08-28,-0.0277,19.6536,0.4031,0.1894,1370.1949
2013-08-29,-0.0277,19.3999,0.4046,0.1895,1370.1884
2013-08-30,-0.0249,19.2250,0.4060,0.1896,1370.1814
2013-08-31,-0.0277,19.0827,0.4075,0.1897,1370.1746
2013-09-01,-0.0365,18.9479,0.4089,0.1897,1370.1675
2013-09-02,-0.0394,18.8159,0.4103,0.1898,1370.1605
2013-09-03,-0.0454,18.6871,0.4117,0.1899,1370.1531
2013-09-04,-0.0448,18.3986,0.4131,0.1900,1370.1460
2013-09-05,-0.0470,18.0535,0.4144,0.1901,1370.1388
2013-09-06,-0.0530,17.7547,0.4156,0.1901,1370.1311
2013-09-07,-0.0574,17.5340,0.4168,0.1902,1370.1237
2013-09-08,-0.0655,17.3878,0.4179,0.1903,1370.1159
2013-09-09,-0.0694,17.2230,0.4189,0.1903,1370.1084
2013-09-10,-0.0715,16.9960,0.4198,0.1904,1370.1004
2013-09-11,-0.0745,16.7364,0.4205,0.1904,1370.0928
2013-09-12,-0.0793,16.5029,0.4211,0.1905,1370.0850
2013-09-13,-0.0854,16.2897,0.4216,0.1905,1370.0769
2013-09-14,-0.0851,16.0101,0.4219,0.1905,1370.0691
2013-09-15,-0.0864,15.7197,0.4221,0.1906,1370.0608
2013-09-16,-0.0862,15.3817,0.4222,0.1906,1370.0529
2013-09-17,-0.0860,15.0477,0.4223,0.1906,1370.0445
2013-09-18,-0.0889,14.7638,0.4224,0.1906,1370.0365
2013-09-19,-0.0901,14.4896,0.4225,0.1906,1370.0285
2013-09-20,-0.0933,14.2588,0.4226,0.1907,1370.0201
2013-09-21,-0.0965,14.0603,0.4226,0.1907,1370.0121
2013-09-22,-0.0999,13.8508,0.4227,0.1907,1370.0038
2013-09-23,-0.1031,13.6495,0.4228,0.1907,1369.9959
2013-09-24,-0.1048,13.5170,0.4229,0.1907,1369.9877
2013-09-25,-0.1101,13.4123,0.4229,0.1906,1369.9800
2013-09-26,-0.1134,13.2912,0.4230,0.1906,1369.9724
2013-09-27,-0.1181,13.1919,0.4230,0.1906,1369.9646
2013-09-28,-0.1200,13.0671,0.4231,0.1906,1369.9573
2013-09-29,-0.1245,12.7887,0.4231,0.1906,1369.9499
2013-09-30,-0.1221,12.4489,0.4232,0.1905,1369.9429
2013-10-01,-0.1222,12.1061,0.4232,0.1905,1369.9359
2013-10-02,-0.1238,11.8124,0.4233,0.1905,1369.9293
2013-10-03,-0.1289,11.5779,0.4233,0.1904,1369.9231
2013-10-04,-0.1321,11.3848,0.4234,0.1904,1369.9168
2013-10-05,-0.1301,11.1012,0.4234,0.1903,1369.9111
2013-10-06,-0.1270,10.7145,0.4235,0.1903,1369.9054
2013-10-07,-0.1250,10.3393,0.4235,0.1902,1369.9003
2013-10-08,-0.1299,10.0465,0.4236,0.1901,1369.8953
2013-10-09,-0.1365,9.8858,0.4236,0.1901,1369.8909
2013-10-10,-0.1430,9.7720,0.4237,0.1900,1369.8868
2013-10-11,-0.1434,9.6063,0.4237,0.1899,1369.8830
2013-10-12,-0.1467,9.5188,0.4238,0.1898,1369.8797
2013-10-13,-0.1534,9.4476,0.4239,0.1898,1369.8768
2013-10-14,-0.1567,9.3729,0.4239,0.1897,1369.8744
2013-10-15,-0.1586,9.2670,0.4240,0.1896,1369.8724
2013-10-16,-0.1621,9.1143,0.4241,0.1895,1369.8710
2013-10-17,-0.1604,8.8550,0.4242,0.1894,1369.8700
2013-10-18,-0.1602,8.5905,0.4242,0.1893,1369.8696
2013-10-19,-0.1651,8.3845,0.4243,0.1892,1369.8697
2013-10-20,-0.1701,8.2692,0.4244,0.1890,1369.8702
2013-10-21,-0.1766,8.1490,0.4244,0.1889,1369.8712
2013-10-22,-0.1730,7.9517,0.4245,0.1888,1369.8727
2013-10-23,-0.1746,7.6320,0.4246,0.1887,1369.8746
2013-10-24,-0.1761,7.4016,0.4247,0.1885,1369.8768
2013-10-25,-0.1725,7.1644,0.4247,0.1884,1369.8794
2013-10-26,-0.1722,6.8965,0.4248,0.1883,1369.8823
2013-10-27,-0.1734,6.7504,0.4249,0.1881,1369.8857
2013-10-28,-0.1761,6.7468,0.4250,0.1880,1369.8891
2013-10-29,-0.1772,6.7073,0.4250,0.1878,1369.8930
2013-10-30,-0.1788,6.5880,0.4251,0.1877,1369.8970
2013-10-31,-0.1717,6.4106,0.4252,0.1875,1369.9012
2013-11-01,-0.1682,6.2113,0.4253,0.1874,1369.9057
2013-11-02,-0.1665,6.0436,0.4254,0.1872,1369.9102
2013-11-03,-0.1629,5.9437,0.4255,0.1870,1369.9151
2013-11-04,-0.1607,5.7929,0.4256,0.1868,1369.9199
2013-11-05,-0.1556,5.5360,0.4257,0.1867,1369.9250
2013-11-06,-0.1518,5.2009,0.4258,0.1865,1369.9299
2013-11-07,-0.1481,4.8246,0.4259,0.1863,1369.9349
2013-11-08,-0.1459,4.4594,0.4261,0.1861,1369.9401
2013-11-09,-0.1440,4.0697,0.4262,0.1859,1369.9451
2013-11-10,-0.1422,3.7394,0.4263,0.1857,1369.9503
