date,dv,temp,sm_ewt,lp_lake,lake
2016-05-08,-0.0480,9.6559,0.4001,-0.3449,1369.8167
2016-05-09,-0.0472,9.7941,0.4010,-0.3468,1369.8165
2016-05-10,-0.0498,9.9260,0.4018,-0.3486,1369.8162
2016-05-11,-0.0438,10.0951,0.4025,-0.3504,1369.8158
2016-05-12,-0.0362,10.3082,0.4031,-0.3522,1369.8153
2016-05-13,-0.0327,10.4630,0.4035,-0.3540,1369.8146
2016-05-14,-0.0241,10.5941,0.4038,-0.3559,1369.8138
2016-05-15,-0.0152,10.6370,0.4040,-0.3577,1369.8129
2016-05-16,0.0052,10.7580,0.4040,-0.3595,1369.8118
2016-05-17,0.0092,10.9909,0.4039,-0.3613,1369.8106
2016-05-18,0.0212,11.2353,0.4039,-0.3631,1369.8093
2016-05-19,0.0347,11.5284,0.4037,-0.3648,1369.8078
2016-05-20,0.0441,11.8223,0.4035,-0.3666,1369.8061
2016-05-21,0.0634,12.0999,0.4033,-0.3684,1369.8044
2016-05-22,0.0790,12.3361,0.4030,-0.3702,1369.8025
2016-05-23,0.0842,12.5478,0.4027,-0.3719,1369.8006
2016-05-24,0.0827,12.7137,0.4024,-0.3737,1369.7986
2016-05-25,0.0941,12.9642,0.4020,-0.3754,1369.7964
2016-05-26,0.0959,13.2011,0.4015,-0.3772,1369.7943
2016-05-27,0.0959,13.3979,0.4011,-0.3789,1369.7920
2016-05-28,0.0986,13.6729,0.4006,-0.3807,1369.7897
2016-05-29,0.1182,13.9573,0.4001,-0.3824,1369.7874
2016-05-30,0.1310,14.2961,0.3996,-0.3841,1369.7850
2016-05-31,0.1487,14.5772,0.3990,-0.3858,1369.7827
2016-06-01,0.1549,14.8236,0.3985,-0.3876,1369.7803
2016-06-02,0.1565,15.0267,0.3978,-0.3893,1369.7779
2016-06-03,0.1589,15.2112,0.3972,-0.3910,1369.7755
2016-06-04,0.1569,15.3593,0.3966,-0.3927,1369.7732
2016-06-05,0.1673,15.4854,0.3959,-0.3943,1369.7709
2016-06-06,0.1719,15.5783,0.3953,-0.3960,1369.7687
2016-06-07,0.1803,15.7145,0.3946,-0.3977,1369.7665
2016-06-08,0.1900,15.9212,0.3939,-0.3994,1369.7643
2016-06-09,0.2130,16.1734,0.3932,-0.4010,1369.7623
2016-06-10,0.2225,16.3665,0.3925,-0.4027,1369.7603
2016-06-11,0.2214,16.5952,0.3918,-0.4043,1369.7584
2016-06-12,0.2339,16.7386,0.3911,-0.4060,1369.7566
2016-06-13,0.2501,16.8647,0.3904,-0.4076,1369.7550
2016-06-14,0.2678,16.9584,0.3897,-0.4092,1369.7535
2016-06-15,0.2743,17.0525,0.3890,-0.4108,1369.7521
2016-06-16,0.2728,17.2518,0.3882,-0.4124,1369.7509
2016-06-17,0.2706,17.4868,0.3874,-0.4140,1369.7498
2016-06-18,0.2612,17.7135,0.3866,-0.4156,1369.7489
2016-06-19,0.2527,17.8361,0.3856,-0.4172,1369.7481
2016-06-20,0.2321,17.9753,0.3846,-0.4188,1369.7474
2016-06-21,0.2235,18.1146,0.3835,-0.4204,1369.7469
2016-06-22,0.2113,18.2967,0.3824,-0.4219,1369.7464
2016-06-23,0.2071,18.5244,0.3812,-0.4235,1369.7459
2016-06-24,0.2074,18.7456,0.3800,-0.4250,1369.7455
2016-06-25,0.2107,18.9523,0.3787,-0.4266,1369.7451
2016-06-26,0.2255,19.1593,0.3774,-0.4281,1369.7447
2016-06-27,0.2373,19.3460,0.3761,-0.4296,1369.7442
2016-06-28,0.2495,19.5628,0.3747,-0.4311,1369.7437
2016-06-29,0.2720,19.7435,0.3734,-0.4326,1369.7431
2016-06-30,0.2936,19.8956,0.3720,-0.4341,1369.7424
2016-07-01,0.3079,20.0522,0.3706,-0.4356,1369.7416
2016-07-02,0.3068,20.1551,0.3692,-0.4371,1369.7406
2016-07-03,0.3144,20.2398,0.3678,-0.4385,1369.7394
