date,dv,temp,sm_ewt,lp_lake,lake
2007-01-06,-0.1451,-1.5742,0.4376,0.3088,1370.8874
2007-01-07,-0.1626,-1.4668,0.4377,0.3099,1370.8916
2007-01-08,-0.1758,-1.4130,0.4378,0.3110,1370.8957
2007-01-09,-0.1799,-1.3448,0.4378,0.3120,1370.9000
2007-01-10,-0.1793,-1.2801,0.4379,0.3131,1370.9041
2007-01-11,-0.1848,-1.1602,0.4379,0.3142,1370.9083
2007-01-12,-0.1901,-0.9963,0.4380,0.3152,1370.9122
2007-01-13,-0.1964,-0.9395,0.4380,0.3163,1370.9163
2007-01-14,-0.2193,-0.8907,0.4380,0.3173,1370.9202
2007-01-15,-0.2276,-0.9257,0.4380,0.3184,1370.9239
2007-01-16,-0.2402,-1.0048,0.4380,0.3194,1370.9278
2007-01-17,-0.2505,-0.9466,0.4380,0.3204,1370.9315
2007-01-18,-0.2645,-0.8099,0.4380,0.3215,1370.9352
2007-01-19,-0.2681,-0.6131,0.4380,0.3225,1370.9387
2007-01-20,-0.2708,-0.4629,0.4380,0.3235,1370.9423
2007-01-21,-0.2861,-0.3584,0.4379,0.3245,1370.9457
2007-01-22,-0.3014,-0.2948,0.4379,0.3255,1370.9490
2007-01-23,-0.3172,-0.1539,0.4379,0.3265,1370.9525
2007-01-24,-0.3268,-0.0137,0.4379,0.3275,1370.9557
2007-01-25,-0.3392,0.0273,0.4379,0.3285,1370.9591
2007-01-26,-0.3438,0.0241,0.4378,0.3295,1370.9622
2007-01-27,-0.3510,-0.0227,0.4378,0.3304,1370.9655
2007-01-28,-0.3632,-0.0121,0.4378,0.3314,1370.9686
2007-01-29,-0.3807,0.0542,0.4377,0.3324,1370.9717
2007-01-30,-0.3912,0.0655,0.4377,0.3333,1370.9750
2007-01-31,-0.4006,0.0364,0.4377,0.3343,1370.9780
2007-02-01,-0.4071,-0.0810,0.4376,0.3352,1370.9812
2007-02-02,-0.4164,-0.1638,0.4376,0.3361,1370.9843
2007-02-03,-0.4276,-0.1662,0.4375,0.3371,1370.9875
2007-02-04,-0.4367,-0.0995,0.4375,0.3380,1370.9906
2007-02-05,-0.4457,-0.0078,0.4375,0.3389,1370.9936
2007-02-06,-0.4532,0.2490,0.4374,0.3398,1370.9969
2007-02-07,-0.4669,0.4366,0.4374,0.3407,1371.0000
2007-02-08,-0.4904,0.6082,0.4373,0.3416,1371.0033
2007-02-09,-0.4927,0.7209,0.4373,0.3425,1371.0065
2007-02-10,-0.5120,0.8111,0.4372,0.3434,1371.0098
2007-02-11,-0.5205,0.9627,0.4372,0.3443,1371.0130
2007-02-12,-0.5229,1.1745,0.4371,0.3451,1371.0163
2007-02-13,-0.5339,1.5281,0.4371,0.3460,1371.0198
2007-02-14,-0.5485,1.8705,0.4370,0.3469,1371.0232
2007-02-15,-0.5501,2.2446,0.4369,0.3477,1371.0268
2007-02-16,-0.5531,2.6480,0.4369,0.3486,1371.0303
2007-02-17,-0.5635,3.0251,0.4368,0.3494,1371.0341
2007-02-18,-0.5712,3.3848,0.4367,0.3502,1371.0377
2007-02-19,-0.5728,3.7255,0.4366,0.3511,1371.0414
2007-02-20,-0.5745,3.9254,0.4365,0.3519,1371.0452
2007-02-21,-0.6471,4.1194,0.4364,0.3527,1371.0490
2007-02-22,-0.7139,4.3342,0.4362,0.3535,1371.0529
2007-02-23,-0.7133,4.5023,0.4361,0.3543,1371.0567
2007-02-24,-0.7173,4.6796,0.4360,0.3551,1371.0607
2007-02-25,-0.7259,4.8335,0.4358,0.3558,1371.0645
2007-02-26,-0.7297,4.9012,0.4357,0.3566,1371.0682
2007-02-27,-0.7338,4.8667,0.4355,0.3574,1371.0722
2007-02-28,-0.7453,4.8239,0.4353,0.3582,1371.0759
2007-03-01,-0.7539,4.8326,0.4352,0.3589,1371.0798
2007-03-02,-0.7542,4.9248,0.4350,0.3597,1371.0834
2007-03-03,-0.7564,5.1053,0.4348,0.3604,1371.0872
2007-03-04,-0.7552,5.3757,0.4346,0.3611,1371.0907
