date,dv,temp,sm_ewt,lp_lake,lake
2016-02-02,-0.0683,-0.7890,0.5230,-0.2407,1369.6135
2016-02-03,-0.0649,-0.4760,0.5237,-0.2426,1369.6170
2016-02-04,-0.0691,-0.2328,0.5243,-0.2444,1369.6203
2016-02-05,-0.0705,0.0130,0.5250,-0.2463,1369.6237
2016-02-06,-0.0761,0.1069,0.5256,-0.2482,1369.6270
2016-02-07,-0.0757,0.1433,0.5261,-0.2500,1369.6305
2016-02-08,-0.0730,0.2486,0.5267,-0.2519,1369.6337
2016-02-09,-0.0663,0.4218,0.5272,-0.2538,1369.6370
2016-02-10,-0.0644,0.6711,0.5276,-0.2557,1369.6403
2016-02-11,-0.0644,0.9652,0.5280,-0.2575,1369.6436
2016-02-12,-0.0695,1.2511,0.5284,-0.2594,1369.6469
2016-02-13,-0.0704,1.5279,0.5287,-0.2613,1369.6500
2016-02-14,-0.0719,1.6616,0.5290,-0.2632,1369.6533
2016-02-15,-0.0734,1.7299,0.5292,-0.2650,1369.6564
2016-02-16,-0.0687,1.8261,0.5294,-0.2669,1369.6594
2016-02-17,-0.0705,1.9590,0.5296,-0.2688,1369.6626
2016-02-18,-0.0717,2.0018,0.5298,-0.2707,1369.6656
2016-02-19,-0.0747,2.0988,0.5300,-0.2726,1369.6687
2016-02-20,-0.0778,2.2946,0.5302,-0.2744,1369.6716
2016-02-21,-0.0723,2.5185,0.5304,-0.2763,1369.6746
2016-02-22,-0.0736,2.5886,0.5306,-0.2782,1369.6774
2016-02-23,-0.0748,2.6188,0.5308,-0.2801,1369.6803
2016-02-24,-0.0830,2.6953,0.5310,-0.2820,1369.6832
2016-02-25,-0.0916,2.7765,0.5311,-0.2839,1369.6859
2016-02-26,-0.1022,2.8757,0.5313,-0.2857,1369.6888
2016-02-27,-0.1024,3.0888,0.5315,-0.2876,1369.6915
2016-02-28,-0.1062,3.2102,0.5316,-0.2895,1369.6942
2016-02-29,-0.1000,3.2580,0.5318,-0.2914,1369.6969
2016-03-01,-0.0987,3.2604,0.5319,-0.2933,1369.6995
2016-03-02,-0.0962,3.3363,0.5320,-0.2952,1369.7022
2016-03-03,-0.1010,3.5117,0.5322,-0.2970,1369.7047
2016-03-04,-0.1044,3.7997,0.5323,-0.2989,1369.7074
2016-03-05,-0.1058,4.1605,0.5324,-0.3008,1369.7099
2016-03-06,-0.1057,4.5325,0.5325,-0.3027,1369.7125
2016-03-07,-0.1024,4.7662,0.5326,-0.3046,1369.7149
2016-03-08,-0.0994,5.0097,0.5327,-0.3065,1369.7174
2016-03-09,-0.0991,5.3115,0.5328,-0.3083,1369.7199
2016-03-10,-0.0973,5.6239,0.5328,-0.3102,1369.7223
2016-03-11,-0.0989,5.8940,0.5329,-0.3121,1369.7248
2016-03-12,-0.0951,6.1491,0.5329,-0.3140,1369.7271
2016-03-13,-0.0965,6.4265,0.5330,-0.3158,1369.7296
2016-03-14,-0.0995,6.7189,0.5330,-0.3177,1369.7319
2016-03-15,-0.0996,7.0168,0.5330,-0.3196,1369.7342
2016-03-16,-0.0979,7.2278,0.5330,-0.3215,1369.7366
2016-03-17,-0.0941,7.3226,0.5330,-0.3233,1369.7389
2016-03-18,-0.0925,7.3748,0.5329,-0.3252,1369.7412
2016-03-19,-0.0938,7.4440,0.5329,-0.3271,1369.7435
2016-03-20,-0.0937,7.4811,0.5328,-0.3289,1369.7458
2016-03-21,-0.0918,7.5806,0.5327,-0.3308,1369.7480
2016-03-22,-0.0982,7.7257,0.5326,-0.3327,1369.7502
2016-03-23,-0.0947,7.9252,0.5324,-0.3345,1369.7525
2016-03-24,-0.0948,8.1022,0.5323,-0.3364,1369.7547
2016-03-25,-0.0943,8.1790,0.5321,-0.3382,1369.7569
2016-03-26,-0.0956,8.3210,0.5319,-0.3401,1369.7590
2016-03-27,-0.0985,8.3901,0.5317,-0.3419,1369.7612
2016-03-28,-0.1034,8.4161,0.5315,-0.3438,1369.7633
2016-03-29,-0.1017,8.3927,0.5313,-0.3456,1369.7654
2016-03-30,-0.1031,8.3283,0.5311,-0.3475,1369.7675
2016-03-31,-0.1030,8.3282,0.5308,-0.3493,1369.7695
2016-04-01,-0.0995,8.3365,0.5306,-0.3512,1369.7716
2016-04-02,-0.1078,8.3246,0.5303,-0.3530,1369.7735
2016-04-03,-0.1074,8.3303,0.5301,-0.3548,1369.7756
2016-04-04,-0.1106,8.3724,0.5298,-0.3566,1369.7775
2016-04-05,-0.1140,8.4677,0.5296,-0.3585,1369.7793
2016-04-06,-0.1205,8.5370,0.5293,-0.3603,1369.7813
2016-04-07,-0.1255,8.6247,0.5290,-0.3621,1369.7831
2016-04-08,-0.1237,8.7348,0.5288,-0.3639,1369.7850
2016-04-09,-0.1287,8.8403,0.5285,-0.3657,1369.7867
2016-04-10,-0.1353,8.9329,0.5282,-0.3675,1369.7885
2016-04-11,-0.1368,8.8998,0.5280,-0.3694,1369.7902
2016-04-12,-0.1382,8.8747,0.5277,-0.3712,1369.7919
2016-04-13,-0.1365,8.9575,0.5275,-0.3730,1369.7936
2016-04-14,-0.1381,9.1010,0.5272,-0.3747,1369.7951
2016-04-15,-0.1366,9.3560,0.5270,-0.3765,1369.7968
2016-04-16,-0.1365,9.5300,0.5268,-0.3783,1369.7983
2016-04-17,-0.1434,9.6487,0.5266,-0.3801,1369.7998
2016-04-18,-0.1502,9.7408,0.5264,-0.3819,1369.8012
2016-04-19,-0.1536,9.8969,0.5262,-0.3836,1369.8026
2016-04-20,-0.1535,10.0609,0.5260,-0.3854,1369.8040
2016-04-21,-0.1570,10.1213,0.5257,-0.3872,1369.8053
2016-04-22,-0.1554,10.0919,0.5255,-0.3889,1369.8066
2016-04-23,-0.1612,10.2121,0.5253,-0.3907,1369.8078
2016-04-24,-0.1665,10.3705,0.5251,-0.3924,1369.8090
2016-04-25,-0.1648,10.4580,0.5249,-0.3942,1369.8100
2016-04-26,-0.1613,10.5770,0.5247,-0.3959,1369.8110
2016-04-27,-0.1594,10.7346,0.5245,-0.3977,1369.8120
2016-04-28,-0.1591,10.8209,0.5243,-0.3994,1369.8129
2016-04-29,-0.1605,11.0141,0.5241,-0.4011,1369.8137
2016-04-30,-0.1697,11.2710,0.5239,-0.4028,1369.8144
2016-05-01,-0.1763,11.5037,0.5236,-0.4045,1369.8150
2016-05-02,-0.1784,11.6965,0.5234,-0.4062,1369.8155
2016-05-03,-0.1782,11.8920,0.5231,-0.4079,1369.8160
2016-05-04,-0.1781,12.0888,0.5229,-0.4096,1369.8163
2016-05-05,-0.1781,12.2318,0.5226,-0.4113,1369.8166
2016-05-06,-0.1814,12.4103,0.5223,-0.4130,1369.8167
2016-05-07,-0.1849,12.6972,0.5221,-0.4147,1369.8168
2016-05-08,-0.1897,12.9447,0.5217,-0.4164,1369.8167
2016-05-09,-0.1948,13.1220,0.5214,-0.4180,1369.8165
2016-05-10,-0.1947,13.3063,0.5211,-0.4197,1369.8162
2016-05-11,-0.1930,13.5536,0.5208,-0.4213,1369.8158
2016-05-12,-0.1912,13.7997,0.5204,-0.4230,1369.8153
2016-05-13,-0.1894,13.8911,0.5200,-0.4246,1369.8146
2016-05-14,-0.1910,13.9694,0.5196,-0.4263,1369.8138
2016-05-15,-0.1957,14.0268,0.5192,-0.4279,1369.8129
2016-05-16,-0.1926,14.2172,0.5188,-0.4295,1369.8118
