date,dv,temp,sm_ewt,lp_lake,lake
2011-05-27,-0.6417,10.4564,0.6444,0.6506,1371.3601
2011-05-28,-0.6463,10.7233,0.6439,0.6534,1371.3736
2011-05-29,-0.6409,10.9702,0.6433,0.6563,1371.3878
2011-05-30,-0.6472,11.1742,0.6428,0.6591,1371.4014
2011-05-31,-0.6422,11.4660,0.6422,0.6620,1371.4157
2011-06-01,-0.6346,11.7338,0.6416,0.6648,1371.4295
2011-06-02,-0.6292,12.0267,0.6409,0.6676,1371.4437
2011-06-03,-0.5959,12.2847,0.6403,0.6704,1371.4574
2011-06-04,-0.5884,12.5188,0.6396,0.6732,1371.4709
2011-06-05,-0.5810,12.7171,0.6389,0.6760,1371.4849
2011-06-06,-0.5700,12.8745,0.6381,0.6788,1371.4981
2011-06-07,-0.5586,12.9746,0.6373,0.6816,1371.5117
2011-06-08,-0.5387,13.0675,0.6366,0.6844,1371.5245
2011-06-09,-0.5006,13.2134,0.6358,0.6871,1371.5376
2011-06-10,-0.4936,13.4894,0.6350,0.6899,1371.5498
2011-06-11,-0.4730,13.7499,0.6341,0.6926,1371.5617
2011-06-12,-0.4559,13.9219,0.6333,0.6954,1371.5737
2011-06-13,-0.4481,14.0538,0.6324,0.6981,1371.5848
2011-06-14,-0.4375,14.1182,0.6316,0.7008,1371.5959
2011-06-15,-0.4240,14.1656,0.6307,0.7035,1371.6061
2011-06-16,-0.4111,14.2716,0.6298,0.7062,1371.6162
2011-06-17,-0.4032,14.4442,0.6288,0.7089,1371.6253
2011-06-18,-0.3938,14.6669,0.6277,0.7116,1371.6338
2011-06-19,-0.3834,14.9775,0.6264,0.7143,1371.6421
2011-06-20,-0.3753,15.2817,0.6250,0.7169,1371.6495
2011-06-21,-0.3652,15.5135,0.6235,0.7196,1371.6566
2011-06-22,-0.3563,15.6715,0.6219,0.7222,1371.6629
2011-06-23,-0.3526,15.7744,0.6202,0.7248,1371.6689
2011-06-24,-0.3389,15.9301,0.6184,0.7274,1371.6741
2011-06-25,-0.3302,16.1613,0.6164,0.7300,1371.6789
2011-06-26,-0.3284,16.3305,0.6144,0.7326,1371.6834
2011-06-27,-0.3155,16.3796,0.6123,0.7352,1371.6873
2011-06-28,-0.3123,16.4855,0.6102,0.7378,1371.6909
2011-06-29,-0.3070,16.6179,0.6080,0.7404,1371.6939
2011-06-30,-0.3000,16.8772,0.6057,0.7429,1371.6967
2011-07-01,-0.2888,17.1431,0.6034,0.7454,1371.6990
2011-07-02,-0.2810,17.2560,0.6010,0.7480,1371.7009
2011-07-03,-0.2816,17.3829,0.5986,0.7505,1371.7026
2011-07-04,-0.2748,17.5842,0.5961,0.7530,1371.7039
2011-07-05,-0.2644,17.7544,0.5937,0.7555,1371.7050
2011-07-06,-0.2574,17.8295,0.5913,0.7579,1371.7057
2011-07-07,-0.2481,17.8643,0.5888,0.7604,1371.7062
2011-07-08,-0.2436,17.9854,0.5863,0.7629,1371.7065
2011-07-09,-0.2411,18.0773,0.5838,0.7653,1371.7065
2011-07-10,-0.2401,18.1958,0.5814,0.7677,1371.7064
2011-07-11,-0.2332,18.2932,0.5789,0.7701,1371.7060
2011-07-12,-0.2252,18.3836,0.5766,0.7725,1371.7055
2011-07-13,-0.2140,18.4701,0.5743,0.7749,1371.7049
2011-07-14,-0.1945,18.5640,0.5719,0.7773,1371.7041
2011-07-15,-0.1819,18.6484,0.5697,0.7797,1371.7033
2011-07-16,-0.1715,18.7223,0.5675,0.7820,1371.7023
2011-07-17,-0.1629,18.7478,0.5653,0.7844,1371.7013
2011-07-18,-0.1527,18.8016,0.5630,0.7867,1371.7002
2011-07-19,-0.1417,18.9121,0.5608,0.7890,1371.6991
2011-07-20,-0.1273,19.0205,0.5584,0.7913,1371.6980
2011-07-21,-0.1186,19.2192,0.5559,0.7936,1371.6968
2011-07-22,-0.1060,19.3584,0.5535,0.7959,1371.6956
2011-07-23,-0.0813,19.4205,0.5509,0.7981,1371.6944
2011-07-24,-0.0595,19.4430,0.5484,0.8004,1371.6929
2011-07-25,-0.0425,19.4676,0.5458,0.8026,1371.6915
2011-07-26,-0.0283,19.5181,0.5433,0.8048,1371.6899
2011-07-27,-0.0102,19.6029,0.5407,0.8070,1371.6882
2011-07-28,0.0086,19.6676,0.5381,0.8092,1371.6864
2011-07-29,0.0288,19.7056,0.5355,0.8114,1371.6844
2011-07-30,0.0410,19.7147,0.5329,0.8135,1371.6824
2011-07-31,0.0510,19.7298,0.5304,0.8157,1371.6800
2011-08-01,0.0625,19.8063,0.5278,0.8178,1371.6776
2011-08-02,0.0745,19.8353,0.5254,0.8199,1371.6749
2011-08-03,0.0929,19.7850,0.5230,0.8220,1371.6721
2011-08-04,0.1131,19.7094,0.5205,0.8241,1371.6691
2011-08-05,0.1298,19.6851,0.5183,0.8261,1371.6657
2011-08-06,0.1378,19.6806,0.5159,0.8282,1371.6622
2011-08-07,0.1439,19.6252,0.5138,0.8302,1371.6583
2011-08-08,0.1404,19.5851,0.5117,0.8323,1371.6544
2011-08-09,0.1553,19.5577,0.5096,0.8343,1371.6499
2011-08-10,0.1701,19.5286,0.5078,0.8363,1371.6454
2011-08-11,0.1727,19.4824,0.5059,0.8382,1371.6403
2011-08-12,0.1752,19.4284,0.5042,0.8402,1371.6352
2011-08-13,0.1776,19.3409,0.5026,0.8422,1371.6297
2011-08-14,0.1801,19.2804,0.5011,0.8441,1371.6237
2011-08-15,0.1825,19.2458,0.4998,0.8460,1371.6175
2011-08-16,0.1849,19.1630,0.4986,0.8479,1371.6108
2011-08-17,0.1872,19.0854,0.4975,0.8498,1371.6039
2011-08-18,0.1894,18.9901,0.4963,0.8516,1371.5967
2011-08-19,0.1917,18.8690,0.4951,0.8535,1371.5887
2011-08-20,0.1939,18.7632,0.4939,0.8553,1371.5808
2011-08-21,0.1961,18.6928,0.4928,0.8571,1371.5721
2011-08-22,0.1982,18.6573,0.4917,0.8589,1371.5635
2011-08-23,0.2003,18.6272,0.4906,0.8607,1371.5541
2011-08-24,0.2023,18.5788,0.4895,0.8625,1371.5449
2011-08-25,0.2044,18.5051,0.4884,0.8643,1371.5351
2011-08-26,0.2063,18.4278,0.4873,0.8660,1371.5254
2011-08-27,0.2083,18.4232,0.4863,0.8677,1371.5155
2011-08-28,0.2102,18.3754,0.4853,0.8694,1371.5049
2011-08-29,0.2121,18.3234,0.4843,0.8711,1371.4946
2011-08-30,0.2139,18.2469,0.4834,0.8728,1371.4837
2011-08-31,0.2157,18.1786,0.4825,0.8744,1371.4732
2011-09-01,0.2175,18.1633,0.4816,0.8761,1371.4625
2011-09-02,0.2192,18.0921,0.4808,0.8777,1371.4512
2011-09-03,0.2209,18.0101,0.4800,0.8793,1371.4404
2011-09-04,0.2226,17.9254,0.4793,0.8809,1371.4289
2011-09-05,0.2243,17.7900,0.4786,0.8824,1371.4180
2011-09-06,0.2259,17.5412,0.4779,0.8840,1371.4065
2011-09-07,0.2275,17.2497,0.4774,0.8855,1371.3956
2011-09-08,0.2290,16.9716,0.4768,0.8870,1371.3846
2011-09-09,0.2305,16.7051,0.4764,0.8885,1371.3732
2011-09-10,0.2320,16.4862,0.4760,0.8900,1371.3624
2011-09-11,0.2335,16.2853,0.4756,0.8915,1371.3512
2011-09-12,0.2349,16.1177,0.4754,0.8929,1371.3405
2011-09-13,0.2363,15.9724,0.4752,0.8943,1371.3295
2011-09-14,0.2377,15.8567,0.4750,0.8957,1371.3192
2011-09-15,0.2390,15.7571,0.4750,0.8971,1371.3090
2011-09-16,0.2403,15.6852,0.4750,0.8985,1371.2985
2011-09-17,0.2416,15.5799,0.4752,0.8999,1371.2886
2011-09-18,0.2429,15.3784,0.4754,0.9012,1371.2786
2011-09-19,0.2441,15.1725,0.4756,0.9025,1371.2692
2011-09-20,0.2453,15.0130,0.4760,0.9038,1371.2596
2011-09-21,0.2465,14.8545,0.4764,0.9051,1371.2507
2011-09-22,0.2476,14.6951,0.4769,0.9064,1371.2420
2011-09-23,0.2487,14.5329,0.4774,0.9076,1371.2331
2011-09-24,0.2498,14.3580,0.4781,0.9089,1371.2248
2011-09-25,0.2509,14.1916,0.4787,0.9101,1371.2164
2011-09-26,0.2519,13.9450,0.4793,0.9113,1371.2085
2011-09-27,0.2530,13.5699,0.4801,0.9124,1371.2006
2011-09-28,0.2540,13.2695,0.4808,0.9136,1371.1931
2011-09-29,0.2549,13.0102,0.4816,0.9147,1371.1860
2011-09-30,0.2559,12.8054,0.4824,0.9159,1371.1787
2011-10-01,0.2568,12.6077,0.4832,0.9170,1371.1719
2011-10-02,0.2578,12.4218,0.4840,0.9180,1371.1651
2011-10-03,0.2586,12.1607,0.4848,0.9191,1371.1588
2011-10-04,0.2595,11.8411,0.4856,0.9201,1371.1524
2011-10-05,0.2603,11.6006,0.4864,0.9212,1371.1465
2011-10-06,0.2611,11.3217,0.4872,0.9222,1371.1408
2011-10-07,0.2620,11.0146,0.4879,0.9232,1371.1351
2011-10-08,0.2627,10.6914,0.4887,0.9241,1371.1299
2011-10-09,0.2635,10.3472,0.4894,0.9251,1371.1247
2011-10-10,0.2642,10.0075,0.4901,0.9260,1371.1199
2011-10-11,0.2650,9.7075,0.4907,0.9270,1371.1151
2011-10-12,0.2657,9.5185,0.4913,0.9279,1371.1107
2011-10-13,0.2663,9.3653,0.4919,0.9287,1371.1065
2011-10-14,0.2670,9.2040,0.4924,0.9296,1371.1024
2011-10-15,0.2677,9.0218,0.4928,0.9304,1371.0987
2011-10-16,0.2683,8.8870,0.4932,0.9313,1371.0950
2011-10-17,0.2689,8.7439,0.4935,0.9321,1371.0917
2011-10-18,0.2695,8.5391,0.4939,0.9328,1371.0885
2011-10-19,0.2701,8.3770,0.4943,0.9336,1371.0856
2011-10-20,0.2707,8.2023,0.4946,0.9344,1371.0829
2011-10-21,0.2712,7.9835,0.4950,0.9351,1371.0803
2011-10-22,0.2717,7.7576,0.4953,0.9358,1371.0780
2011-10-23,0.2723,7.5080,0.4957,0.9365,1371.0758
2011-10-24,0.2728,7.2903,0.4960,0.9372,1371.0738
2011-10-25,0.2733,7.1327,0.4964,0.9378,1371.0718
2011-10-26,0.2737,6.9013,0.4967,0.9385,1371.0701
2011-10-27,0.2742,6.6973,0.4970,0.9391,1371.0684
2011-10-28,0.2747,6.4687,0.4973,0.9397,1371.0668
2011-10-29,0.2751,6.2817,0.4976,0.9402,1371.0654
2011-10-30,0.2755,6.1153,0.4979,0.9408,1371.0640
2011-10-31,0.2759,5.8967,0.4982,0.9413,1371.0627
2011-11-01,0.2764,5.6633,0.4985,0.9419,1371.0614
2011-11-02,0.2767,5.3628,0.4988,0.9424,1371.0603
2011-11-03,0.2771,5.0796,0.4990,0.9428,1371.0591
2011-11-04,0.2775,4.7325,0.4993,0.9433,1371.0579
2011-11-05,0.2778,4.4427,0.4995,0.9438,1371.0568
2011-11-06,0.2782,4.2042,0.4997,0.9442,1371.0557
2011-11-07,0.2785,4.1038,0.4999,0.9446,1371.0545
2011-11-08,0.2789,4.0685,0.5001,0.9450,1371.0533
2011-11-09,0.2792,3.9889,0.5003,0.9454,1371.0521
2011-11-10,0.2795,3.8734,0.5005,0.9457,1371.0509
2011-11-11,0.2798,3.7391,0.5006,0.9460,1371.0496
2011-11-12,0.2801,3.5580,0.5007,0.9463,1371.0482
2011-11-13,0.2804,3.3433,0.5008,0.9466,1371.0467
2011-11-14,0.2807,3.0736,0.5009,0.9469,1371.0451
2011-11-15,0.2810,2.7580,0.5010,0.9472,1371.0434
2011-11-16,0.2813,2.4237,0.5011,0.9474,1371.0416
2011-11-17,0.2815,2.1128,0.5011,0.9476,1371.0397
