date,dv,temp,sm_ewt,lp_lake,lake
2009-03-26,-0.3029,1.6352,0.5556,0.3695,1370.8825
2009-03-27,-0.3045,1.6175,0.5563,0.3713,1370.8861
2009-03-28,-0.3065,1.5437,0.5571,0.3731,1370.8897
2009-03-29,-0.3107,1.5293,0.5579,0.3750,1370.8933
2009-03-30,-0.3098,1.6485,0.5587,0.3768,1370.8968
2009-03-31,-0.3145,1.8524,0.5594,0.3786,1370.9003
2009-04-01,-0.3203,2.0141,0.5602,0.3804,1370.9036
2009-04-02,-0.3261,2.0235,0.5609,0.3822,1370.9070
2009-04-03,-0.3289,1.9652,0.5617,0.3840,1370.9103
2009-04-04,-0.3289,1.9333,0.5624,0.3858,1370.9134
2009-04-05,-0.3275,1.9872,0.5630,0.3877,1370.9166
2009-04-06,-0.3366,2.2267,0.5637,0.3895,1370.9197
2009-04-07,-0.3529,2.4778,0.5643,0.3913,1370.9227
2009-04-08,-0.3583,2.6982,0.5648,0.3930,1370.9256
2009-04-09,-0.3749,2.7940,0.5653,0.3948,1370.9286
2009-04-10,-0.3856,2.9859,0.5658,0.3966,1370.9314
2009-04-11,-0.3961,3.2449,0.5662,0.3984,1370.9341
2009-04-12,-0.4070,3.4801,0.5665,0.4002,1370.9368
2009-04-13,-0.4171,3.6472,0.5667,0.4020,1370.9394
2009-04-14,-0.4274,3.7475,0.5669,0.4037,1370.9420
2009-04-15,-0.4370,3.8820,0.5670,0.4055,1370.9444
2009-04-16,-0.4466,3.9701,0.5670,0.4073,1370.9468
2009-04-17,-0.4555,4.0131,0.5670,0.4090,1370.9491
2009-04-18,-0.4641,4.1516,0.5670,0.4108,1370.9513
2009-04-19,-0.4725,4.3429,0.5670,0.4125,1370.9535
2009-04-20,-0.4801,4.5097,0.5669,0.4143,1370.9556
2009-04-21,-0.4876,4.5607,0.5669,0.4160,1370.9577
2009-04-22,-0.4942,4.6255,0.5669,0.4178,1370.9597
2009-04-23,-0.5005,4.8236,0.5668,0.4195,1370.9617
2009-04-24,-0.5060,5.0830,0.5668,0.4212,1370.9636
2009-04-25,-0.5109,5.2588,0.5668,0.4230,1370.9656
2009-04-26,-0.5152,5.4587,0.5667,0.4247,1370.9676
2009-04-27,-0.5188,5.7547,0.5667,0.4264,1370.9695
2009-04-28,-0.5217,6.0566,0.5666,0.4281,1370.9716
2009-04-29,-0.5237,6.2861,0.5666,0.4298,1370.9735
2009-04-30,-0.5250,6.5588,0.5665,0.4315,1370.9757
2009-05-01,-0.5254,6.8784,0.5665,0.4332,1370.9777
2009-05-02,-0.5254,7.1581,0.5664,0.4349,1370.9799
2009-05-03,-0.5253,7.4548,0.5664,0.4366,1370.9822
2009-05-04,-0.5245,7.6516,0.5663,0.4383,1370.9845
2009-05-05,-0.5236,7.9013,0.5663,0.4400,1370.9869
2009-05-06,-0.5276,8.1845,0.5662,0.4416,1370.9894
2009-05-07,-0.5326,8.4187,0.5662,0.4433,1370.9921
2009-05-08,-0.5292,8.5369,0.5662,0.4450,1370.9948
2009-05-09,-0.5387,8.5397,0.5661,0.4466,1370.9977
2009-05-10,-0.5363,8.6346,0.5661,0.4483,1371.0008
2009-05-11,-0.5320,8.7885,0.5661,0.4499,1371.0039
2009-05-12,-0.5289,8.8501,0.5660,0.4515,1371.0073
2009-05-13,-0.5191,8.9103,0.5660,0.4532,1371.0108
2009-05-14,-0.5131,9.0013,0.5660,0.4548,1371.0145
2009-05-15,-0.5039,9.0560,0.5660,0.4564,1371.0184
2009-05-16,-0.4940,9.1613,0.5660,0.4580,1371.0224
2009-05-17,-0.4900,9.3204,0.5661,0.4597,1371.0268
2009-05-18,-0.4832,9.5372,0.5663,0.4613,1371.0312
2009-05-19,-0.4801,9.6783,0.5666,0.4629,1371.0361
2009-05-20,-0.4689,9.7492,0.5670,0.4644,1371.0410
2009-05-21,-0.4593,9.8387,0.5676,0.4660,1371.0462
2009-05-22,-0.4768,9.8720,0.5682,0.4676,1371.0515
2009-05-23,-0.4731,9.8804,0.5689,0.4692,1371.0568
2009-05-24,-0.4672,9.8713,0.5697,0.4707,1371.0626
2009-05-25,-0.4652,9.9101,0.5705,0.4723,1371.0682
2009-05-26,-0.4578,10.1048,0.5714,0.4739,1371.0741
2009-05-27,-0.4611,10.3610,0.5723,0.4754,1371.0799
2009-05-28,-0.4615,10.5953,0.5733,0.4769,1371.0860
2009-05-29,-0.4571,10.7786,0.5743,0.4785,1371.0919
2009-05-30,-0.4590,10.9339,0.5754,0.4800,1371.0978
2009-05-31,-0.4594,11.1538,0.5764,0.4815,1371.1040
2009-06-01,-0.4608,11.3897,0.5774,0.4830,1371.1099
2009-06-02,-0.4594,11.5993,0.5784,0.4845,1371.1160
2009-06-03,-0.4601,11.7942,0.5794,0.4860,1371.1219
2009-06-04,-0.4617,11.9409,0.5804,0.4875,1371.1279
2009-06-05,-0.4614,12.1167,0.5814,0.4890,1371.1336
2009-06-06,-0.4610,12.2357,0.5823,0.4905,1371.1392
2009-06-07,-0.4605,12.3715,0.5831,0.4920,1371.1449
2009-06-08,-0.4584,12.5310,0.5840,0.4934,1371.1502
2009-06-09,-0.4594,12.7140,0.5847,0.4949,1371.1556
2009-06-10,-0.4584,12.8750,0.5853,0.4963,1371.1606
