month,count
2016-01-01,22
2016-02-01,30
2016-03-01,20
2016-04-01,18
2016-05-01,16
2016-06-01,32
2016-07-01,17
2016-08-01,24
2016-09-01,39
2016-10-01,25
2016-11-01,19
2016-12-01,44
2017-01-01,22
2017-02-01,12
2017-03-01,22
2017-04-01,23
2017-05-01,23
2017-06-01,24
2017-07-01,17
2017-08-01,15
2017-09-01,17
2017-10-01,16
2017-11-01,19
2017-12-01,23
2018-01-01,17
2018-02-01,20
2018-03-01,15
2018-04-01,21
2018-05-01,25
2018-06-01,11
2018-07-01,18
2018-08-01,18
2018-09-01,18
2018-10-01,23
2018-11-01,30
2018-12-01,16
2019-01-01,24
2019-02-01,22
2019-03-01,12
2019-04-01,31
2019-05-01,18
2019-06-01,33
2019-07-01,1738
2019-08-01,95
2019-09-01,44
2019-10-01,37
2019-11-01,52
2019-12-01,39
