time,Z,N,E
0.0,20525.021459134517,-19224.056195777794,-47203.48834375477
0.2,-7242.363758288217,4543.589719568818,14463.495052211627
0.4,-1562.6305968876377,5935.7555573153595,-9257.204055115548
0.6,-907.9248792985982,-4912.978439456139,3321.9884115920195
0.8,-432.5343026009844,1306.7754701666472,-9014.431028914289
1.0,-1127.0926697816328,-10284.114854118256,2162.0730205265454
1.2,-1648.1127265688033,1134.077696677968,-6447.897375388134
1.4,1661.2792424311476,-10291.101012209694,4436.358438612456
1.6,5472.162037663189,-208.78814832745311,-1462.513720994969
1.8,6402.416328900477,-14571.431786928886,7283.456701659862
2.0,322.2054701871432,-1072.9659625105419,151.1849158523351
2.2,-1520.2459799264016,-12104.97407225856,8686.873297757265
2.4,-3383.7200269887044,3423.183007629259,1465.0348767693065
2.6,-943.0568670240483,-7655.633604195668,8522.594742706618
2.8,-4320.054960161371,7865.682254765194,1877.4765498343024
3.0,-2876.030923944946,-4731.401365944835,8556.274405998565
3.2,-3516.8383235062793,11245.711793147992,1826.1928615004247
3.4,-123.54809231200042,330.444864566155,8292.850800738763
3.6,-1012.8132179151858,15730.610679435342,664.0973101412822
3.8,973.7172278982018,718.6924955526107,5449.4612687889985
4.0,-2846.4614753676656,12474.334298781607,-2866.4747838794797
4.2,-959.6404876816467,-3044.933961168239,3535.243735003047
4.4,-3455.951448872151,12227.999591255848,-2791.1035515356602
4.6,-1642.4533401431802,-2467.2030342069147,3819.526790063603
4.8,-119.77405760899259,10641.858536893758,-3226.4856468633157
5.0,6337.119066542135,-5016.224316109976,2301.5945685992892
5.2,4371.078416886883,9020.489845052132,-3428.7824751402277
5.4,6263.694881622823,-7540.88739340264,4323.597628832887
5.6,2535.820905724047,5517.922879269797,-899.1757419800432
5.8,3650.327287058936,-11438.810610870358,4966.312813340006
6.0,393.388421067913,1310.7992850103346,-3106.6681549852974
6.2,-479.84600116246884,-14556.825518972182,2042.8092104830466
6.4,-8019.230520836954,740.1156130234781,-4981.318520835984
6.6,-4954.172932598155,-13123.281477644017,654.3500531432896
6.8,-4134.2594609689495,3445.3090734388434,-5667.74461598021
7.0,-774.2853589278649,-10595.392368346093,1099.8933295472095
